frames,method,mean,std,completed_seeds,expected_seeds
256,identity,-11.810253322124481,3.7500221793027753,3,5
8192,identity,-11.824791391690573,3.0469864274599114,3,5
16384,identity,-10.385695219039917,1.3866168422093073,3,5
24576,identity,-10.35364298025767,1.4769893474335818,3,5
32768,identity,-10.22449400027593,1.8039941592991957,3,5
40960,identity,-9.805636276801428,1.5914091381106041,3,5
49152,identity,-9.423761457204819,1.9162304815078424,3,5
57344,identity,-9.050764809052149,1.7026114475567964,3,5
65536,identity,-8.926931411027908,1.912334401345854,3,5
73728,identity,-8.883655786514282,1.9174773869597737,3,5
81920,identity,-8.844349582990011,1.9738284009134568,3,5
90112,identity,-8.89822307229042,1.892122858318769,3,5
98304,identity,-8.753549426794052,1.8316598096498349,3,5
106496,identity,-8.846701890230179,1.826248328308534,3,5
114688,identity,-8.452838490406672,1.874389252075078,3,5
122880,identity,-8.556930869817734,1.8782643014223928,3,5
131072,identity,-8.538675139347712,2.0106829436308944,3,5
256,broadcast,-12.814277390638987,4.945807595968005,3,5
8192,broadcast,-11.625377178192139,2.0745939312480752,3,5
16384,broadcast,-10.417226334412891,1.3116951894509492,3,5
24576,broadcast,-10.084717690944672,1.5884476815251385,3,5
32768,broadcast,-10.382786452770233,1.7694629077591963,3,5
40960,broadcast,-10.002243359883627,2.1900433855782397,3,5
49152,broadcast,-9.635865777730942,1.9480661340811978,3,5
57344,broadcast,-9.256795307000479,2.0401740103151433,3,5
65536,broadcast,-9.403972605864206,2.52292404383967,3,5
73728,broadcast,-9.106968621412912,2.485277270060231,3,5
81920,broadcast,-8.912311991055807,2.3732225989953943,3,5
90112,broadcast,-8.749737908442816,2.922628522664691,3,5
98304,broadcast,-8.768258055051168,2.325447299214662,3,5
106496,broadcast,-8.51162118713061,2.548260203850761,3,5
114688,broadcast,-8.36971041560173,2.263875871075548,3,5
122880,broadcast,-8.469324797391891,2.2506146721889944,3,5
131072,broadcast,-8.601268927256266,1.9213943357096572,3,5
256,gated,-12.736229320367178,5.132344349229277,3,5
8192,gated,-11.004869123299917,2.7418312185112677,3,5
16384,gated,-10.233306845029196,1.1966725580368685,3,5
24576,gated,-10.413609445095062,0.8546463308704141,3,5
32768,gated,-10.147280981143316,1.496585342970093,3,5
40960,gated,-9.74589498837789,1.3009472305422414,3,5
49152,gated,-9.803209235270819,1.3648651040991433,3,5
57344,gated,-9.665608753760656,1.286530625794396,3,5
65536,gated,-9.62775452931722,1.6967741988845715,3,5
73728,gated,-9.354401131470999,1.6674841211464784,3,5
81920,gated,-9.523317098617554,1.635408344907926,3,5
90112,gated,-9.409675707419714,1.5825449444915387,3,5
98304,gated,-9.056094268957773,1.1729327192939751,3,5
106496,gated,-9.01064563790957,0.9975556525131012,3,5
114688,gated,-8.979771862427393,1.1549415337293194,3,5
122880,gated,-9.24010756611824,1.1747848236124958,3,5
131072,gated,-9.091118266185125,1.2627910442459116,3,5
256,attention,-11.753362456957499,3.5745249798732344,3,5
8192,attention,-11.784014483292898,1.9479124619193682,3,5
16384,attention,-10.326843639214834,1.4137862408099855,3,5
24576,attention,-10.31396371126175,1.0042726503639972,3,5
32768,attention,-9.957853426535925,1.2502181305514848,3,5
40960,attention,-9.79895414908727,0.9785256464358703,3,5
49152,attention,-9.48123057683309,1.312437981696865,3,5
57344,attention,-9.389296531677246,1.3747244704918804,3,5
65536,attention,-9.606950124104818,1.4616617683829012,3,5
73728,attention,-9.514350225528082,1.6682615748450893,3,5
81920,attention,-9.374102354049683,1.6911671166046596,3,5
90112,attention,-9.231124977270762,1.8220931645688077,3,5
98304,attention,-9.037780672311783,1.3906438911993257,3,5
106496,attention,-9.031942794720331,1.5042527946170845,3,5
114688,attention,-8.860327968994776,1.4794675712655174,3,5
122880,attention,-8.8832499285539,1.3892206414996389,3,5
131072,attention,-8.841760526100794,1.411284090339412,3,5
256,graph,-12.323165118694305,4.712660963727094,3,5
8192,graph,-12.002183715502419,2.5013535264626423,3,5
16384,graph,-10.261807868878046,0.6143248231490538,3,5
24576,graph,-10.178906182448069,0.5055980450448816,3,5
32768,graph,-9.834101855754852,0.6706621887043499,3,5
40960,graph,-9.702282478411993,0.5742063497346838,3,5
49152,graph,-9.520741641521454,0.9158862571077956,3,5
57344,graph,-10.105107963085175,1.6794416809417334,3,5
65536,graph,-9.81225543220838,1.5576049235632592,3,5
73728,graph,-9.895845711231232,1.6899814188662683,3,5
81920,graph,-9.24511977036794,1.3846918059310118,3,5
90112,graph,-9.149739980697632,1.5676949241536577,3,5
98304,graph,-8.939390460650126,1.188027572542993,3,5
106496,graph,-8.898922691742579,0.7529435135146205,3,5
114688,graph,-8.832661281029383,1.0328918751724456,3,5
122880,graph,-8.879776606957117,1.0735505914686045,3,5
131072,graph,-8.75817260146141,1.1756920715063635,3,5
