frames,method,mean,std,completed_seeds,expected_seeds
256,identity,0.24062099556128183,0.1719031704639853,3,5
8192,identity,0.2985123842954635,0.1310777036711409,3,5
16384,identity,0.2738664249579112,0.08666587320803913,3,5
24576,identity,0.278872604171435,0.07767822300710583,3,5
32768,identity,0.25819232563177746,0.0936919547129155,3,5
40960,identity,0.22581241031487778,0.10819688481217639,3,5
49152,identity,0.22122868647178015,0.11343851918507597,3,5
57344,identity,0.202638824780782,0.10574157154827733,3,5
65536,identity,0.19833309203386298,0.11410585274762021,3,5
73728,identity,0.19546778996785474,0.1146314885638997,3,5
81920,identity,0.19414928555488584,0.1165166640481728,3,5
90112,identity,0.19190449515978494,0.11460687621693776,3,5
98304,identity,0.18749934931596113,0.10884624866443555,3,5
106496,identity,0.1951014126340548,0.10722895104519778,3,5
114688,identity,0.17993364483118054,0.10765487039706784,3,5
122880,identity,0.1801620299617449,0.10890540334699522,3,5
131072,identity,0.17778890579938886,0.11594153731820765,3,5
256,broadcast,0.24840236703554786,0.16341483556223493,3,5
8192,broadcast,0.29888276755809784,0.10624459192391598,3,5
16384,broadcast,0.283235877752304,0.06984970968927091,3,5
24576,broadcast,0.2744432638088862,0.08905395562209029,3,5
32768,broadcast,0.2758853087822596,0.08832740934072317,3,5
40960,broadcast,0.2495680054028829,0.11894451302891532,3,5
49152,broadcast,0.2375022123257319,0.10671444072193548,3,5
57344,broadcast,0.21352035055557883,0.11918761088906292,3,5
65536,broadcast,0.21810449908177057,0.13533927237228655,3,5
73728,broadcast,0.21054856230815253,0.13142179234391588,3,5
81920,broadcast,0.2053349117437998,0.12518617018571765,3,5
90112,broadcast,0.21178866674502692,0.13143428716460043,3,5
98304,broadcast,0.19576173524061832,0.1255688626394053,3,5
106496,broadcast,0.20205691953500107,0.11860906914751236,3,5
114688,broadcast,0.19245838622252143,0.1109091876121088,3,5
122880,broadcast,0.19134303927421567,0.1128127720538823,3,5
131072,broadcast,0.19027066479126611,0.10733387539570947,3,5
256,gated,0.2401457180579503,0.17107056555213856,3,5
8192,gated,0.26789092520872754,0.14245399887469035,3,5
16384,gated,0.2722990959882736,0.07425246657545251,3,5
24576,gated,0.2835006068150202,0.06260459705875356,3,5
32768,gated,0.2600314219792684,0.08439511915915389,3,5
40960,gated,0.23403418560822806,0.08682068136576719,3,5
49152,gated,0.23486657440662384,0.09271888297023165,3,5
57344,gated,0.23132540782292685,0.08705977566622258,3,5
65536,gated,0.22872032225131986,0.10365536343697687,3,5
73728,gated,0.22066078086694077,0.09907482874449818,3,5
81920,gated,0.2223490228255589,0.10159293877755048,3,5
90112,gated,0.21696628630161285,0.09942612636257227,3,5
98304,gated,0.20157466332117713,0.08317919362542457,3,5
106496,gated,0.21014689902464548,0.07333732224514686,3,5
114688,gated,0.20889639357725776,0.0779062011740615,3,5
122880,gated,0.21724006036917368,0.07905449744606921,3,5
131072,gated,0.2027977456649144,0.08741577360009072,3,5
256,attention,0.2444345106681188,0.17995838191994795,3,5
8192,attention,0.3023488571246465,0.11965257922801208,3,5
16384,attention,0.2795756210883458,0.07870491387146908,3,5
24576,attention,0.2864637275536855,0.06939181284223576,3,5
32768,attention,0.2675210436185201,0.06260757485526282,3,5
40960,attention,0.26119182507197053,0.04986932517789494,3,5
49152,attention,0.24760432541370392,0.06708723395157826,3,5
57344,attention,0.2405700385570526,0.07513303011327425,3,5
65536,attention,0.24445009728272757,0.0861690288046204,3,5
73728,attention,0.2402140498161316,0.08861819232839208,3,5
81920,attention,0.22389330963293708,0.09722401032401552,3,5
90112,attention,0.216677650809288,0.10170755713675507,3,5
98304,attention,0.21447466810544327,0.08108790102966372,3,5
106496,attention,0.22150560220082596,0.07860250965405398,3,5
114688,attention,0.22114000221093488,0.07058242086575593,3,5
122880,attention,0.22180051604906714,0.06775769028993277,3,5
131072,attention,0.22001913189887998,0.06866390222519057,3,5
256,graph,0.23139452934265134,0.161348200769373,3,5
8192,graph,0.314029003183047,0.11776866866400426,3,5
16384,graph,0.2824463297923406,0.050689736203754374,3,5
24576,graph,0.2800887028376261,0.02057826204179575,3,5
32768,graph,0.26659280558427173,0.03500773460400392,3,5
40960,graph,0.25831338763237,0.03781234170989259,3,5
49152,graph,0.24747614065806067,0.0548626366619291,3,5
57344,graph,0.23973352213700605,0.06475903225735412,3,5
65536,graph,0.24630158642927802,0.09187177964812669,3,5
73728,graph,0.25634318590164185,0.10047257211519563,3,5
81920,graph,0.22078211853901542,0.10432219748822016,3,5
90112,graph,0.2169702624281247,0.10314997018105433,3,5
98304,graph,0.20830544084310523,0.0883408105303101,3,5
106496,graph,0.21262366573015842,0.059296565041531975,3,5
114688,graph,0.21360394855340323,0.06758300205514052,3,5
122880,graph,0.2167899558941523,0.07430306869263657,3,5
131072,graph,0.21110384166240684,0.08186500391525475,3,5
