frames,method,mean,std,completed_seeds,expected_seeds
256,identity,0.0022739890264346662,0.0015930611143189926,3,5
8192,identity,0.0008383268286706333,0.0011899199633452066,3,5
16384,identity,0.000497269841919929,0.0004988848056256615,3,5
24576,identity,0.00048464086042558364,0.00044181747395334684,3,5
32768,identity,0.0006457469717133,0.0005477783768783115,3,5
40960,identity,0.0006382607049696333,0.0004442148547057784,3,5
49152,identity,0.0005052618556267333,0.00032583448198920907,3,5
57344,identity,0.0004484669140462,0.000259361584514241,3,5
65536,identity,0.0003995680453953666,0.00021606292932561396,3,5
73728,identity,0.0004124632250749667,0.00021806021106596677,3,5
81920,identity,0.0004189555669047667,0.00021936436438168793,3,5
90112,identity,0.0004138869262533,0.00020291641654044188,3,5
98304,identity,0.00044675444951276674,0.0002284390336373585,3,5
106496,identity,0.0004470439307624,0.0002499760684845784,3,5
114688,identity,0.0004320970086458,0.00025397859009416144,3,5
122880,identity,0.00046020208295276667,0.0002916708100259656,3,5
131072,identity,0.00044366882745326664,0.0002759514361809563,3,5
256,broadcast,0.003581976324009334,0.0037247607328815876,3,5
8192,broadcast,0.0008855476456422319,0.0012964673508073718,3,5
16384,broadcast,0.0005562154813863355,0.0005863507436994543,3,5
24576,broadcast,0.000464899766787582,0.00045131374497825883,3,5
32768,broadcast,0.0006441023676112334,0.0005555652448560303,3,5
40960,broadcast,0.0006954443961148666,0.0005426906331863454,3,5
49152,broadcast,0.0006368889783819,0.0005081247416230128,3,5
57344,broadcast,0.0005534525795761667,0.00039834712618630025,3,5
65536,broadcast,0.0005154707469045666,0.0003317299306915756,3,5
73728,broadcast,0.0004955549714698333,0.00035618030008808697,3,5
81920,broadcast,0.0004488117968624436,0.0003364042439788436,3,5
90112,broadcast,0.0003965586899236232,0.0003170322780836515,3,5
98304,broadcast,0.0004109600255711511,0.0003106024236907679,3,5
106496,broadcast,0.00040059714956439856,0.000294754260922221,3,5
114688,broadcast,0.00042665607179512304,0.00030937169985126024,3,5
122880,broadcast,0.00042178411968048793,0.00031665726662192915,3,5
131072,broadcast,0.0004123863206283357,0.0003006697851636269,3,5
256,gated,0.0037058468054359003,0.003929896532572887,3,5
8192,gated,0.0006833941200359419,0.0009170387330022306,3,5
16384,gated,0.0005048606520479459,0.0005044919376032457,3,5
24576,gated,0.0004979396653652355,0.0004984619727832416,3,5
32768,gated,0.0006215816489807999,0.00047501104299824365,3,5
40960,gated,0.0006538445110587333,0.0004080618594691603,3,5
49152,gated,0.0006377654596386334,0.0003436290841925927,3,5
57344,gated,0.0005871784330035,0.0002551519262266894,3,5
65536,gated,0.0005194355423251334,0.00013978442782663239,3,5
73728,gated,0.0004816365641696333,0.00011047174527918828,3,5
81920,gated,0.0005005928008661333,8.271695822726559e-05,3,5
90112,gated,0.0004653570455654,4.541841183999782e-05,3,5
98304,gated,0.0004761714371852,6.960409459318704e-05,3,5
106496,gated,0.00046536312826593335,0.00012769289586861196,3,5
114688,gated,0.00047246793595449995,0.00012321991196142563,3,5
122880,gated,0.0004799707870309,0.0001601932007650321,3,5
131072,gated,0.00047677854308853337,0.0001225117004819293,3,5
256,attention,0.0020373947918414666,0.0011376107800970517,3,5
8192,attention,0.0011223552282899386,0.0017020459641415887,3,5
16384,attention,0.0005375240070861375,0.0005079312495810234,3,5
24576,attention,0.0005085387486663417,0.0004977621902529463,3,5
32768,attention,0.0005754550754014334,0.0004402780276760437,3,5
40960,attention,0.0005419335260133333,0.0003790378732025696,3,5
49152,attention,0.0004412154085002334,0.0002776438597062538,3,5
57344,attention,0.00043947912733220007,0.0002740277356420125,3,5
65536,attention,0.0004279023366203666,0.00026052242211612364,3,5
73728,attention,0.0004500561578120999,0.00028437768306741463,3,5
81920,attention,0.00044843862269766666,0.00030179199524042364,3,5
90112,attention,0.0004326704171640667,0.00027951698921431045,3,5
98304,attention,0.00042601767684869997,0.0002886865036155335,3,5
106496,attention,0.0004342147464436614,0.0003162860183506778,3,5
114688,attention,0.0004270214946396949,0.0003174086497362016,3,5
122880,attention,0.0004460407532557113,0.00036182586784764355,3,5
131072,attention,0.00043119550052020454,0.000354192278764509,3,5
256,graph,0.0032193026272579668,0.0032043875767973685,3,5
8192,graph,0.0009553867324332637,0.0014183138069102225,3,5
16384,graph,0.0005015769662956,0.0004766932360027242,3,5
24576,graph,0.0005658782538375334,0.0005260622033335721,3,5
32768,graph,0.0005630358427879,0.0004905925156573642,3,5
40960,graph,0.0005506647382086333,0.00041928485073515807,3,5
49152,graph,0.0005156671735069666,0.00029352797786706355,3,5
57344,graph,0.0014848762269441668,0.0014151490050681747,3,5
65536,graph,0.0006468888605013001,0.0001314542642521158,3,5
73728,graph,0.0004774498520418667,0.000266941546107235,3,5
81920,graph,0.00048546995579570006,0.0003415472550867701,3,5
90112,graph,0.0004806804257289333,0.00018877968002577772,3,5
98304,graph,0.00044170651623663335,0.0002963490888517485,3,5
106496,graph,0.0004641140355184667,0.0003264052949347437,3,5
114688,graph,0.0004810220028351,0.0003754632647161437,3,5
122880,graph,0.0004918102446632667,0.0004409681607391127,3,5
131072,graph,0.0004850079033834,0.0004408452435243796,3,5
