frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.0,0.0,5,5
12000,identity,0.0,0.0,5,5
24000,identity,0.0,0.0,5,5
36000,identity,0.0,0.0,5,5
48000,identity,0.0,0.0,5,5
60000,identity,0.0,0.0,5,5
72000,identity,0.0,0.0,5,5
84000,identity,0.0,0.0,5,5
96000,identity,0.0,0.0,5,5
108000,identity,0.0,0.0,5,5
120000,identity,0.0,0.0,5,5
132000,identity,0.0,0.0,5,5
144000,identity,0.0,0.0,5,5
156000,identity,0.0,0.0,5,5
168000,identity,0.0,0.0,5,5
180000,identity,0.0,0.0,5,5
192000,identity,0.0,0.0,5,5
204000,identity,0.0,0.0,5,5
216000,identity,0.0,0.0,5,5
228000,identity,0.0,0.0,5,5
240000,identity,0.0,0.0,5,5
252000,identity,0.0,0.0,5,5
264000,identity,0.0,0.0,5,5
276000,identity,0.0,0.0,5,5
288000,identity,0.0,0.0,5,5
300000,identity,0.0,0.0,5,5
312000,identity,0.0,0.0,5,5
324000,identity,0.0,0.0,5,5
336000,identity,0.0,0.0,5,5
348000,identity,0.0,0.0,5,5
360000,identity,0.0,0.0,5,5
372000,identity,0.0,0.0,5,5
384000,identity,0.0,0.0,5,5
396000,identity,0.0,0.0,5,5
408000,identity,0.0,0.0,5,5
420000,identity,0.0,0.0,5,5
432000,identity,0.0,0.0,5,5
444000,identity,0.0,0.0,5,5
456000,identity,0.0,0.0,5,5
468000,identity,0.0,0.0,5,5
480000,identity,0.0,0.0,5,5
492000,identity,0.0,0.0,5,5
504000,identity,0.0,0.0,5,5
516000,identity,0.0,0.0,5,5
528000,identity,0.0,0.0,5,5
540000,identity,0.0,0.0,5,5
552000,identity,0.0,0.0,5,5
564000,identity,0.0,0.0,5,5
576000,identity,0.0,0.0,5,5
588000,identity,0.0,0.0,5,5
600000,identity,0.0,0.0,5,5
6000,broadcast,0.2954166937271754,0.018310909681562248,5,5
12000,broadcast,0.3038755833307902,0.010079354722438235,5,5
24000,broadcast,0.31845662434895833,0.02093647025530868,5,5
36000,broadcast,0.32347779206434885,0.041888876782918145,5,5
48000,broadcast,0.3228847030798594,0.03808864661527344,5,5
60000,broadcast,0.32788747632503507,0.051094322731151484,5,5
72000,broadcast,0.33366963803768157,0.04640603759257545,5,5
84000,broadcast,0.328285518169403,0.0342746386233197,5,5
96000,broadcast,0.34672267862161005,0.044426198493614205,5,5
108000,broadcast,0.33239261841773987,0.051212707976262345,5,5
120000,broadcast,0.3457357318003972,0.05384666928522969,5,5
132000,broadcast,0.3471773251692455,0.04700064365301849,5,5
144000,broadcast,0.3518471928437551,0.03841621200035002,5,5
156000,broadcast,0.3544808640877406,0.035156179312297524,5,5
168000,broadcast,0.3566093506813049,0.05188832556589437,5,5
180000,broadcast,0.35301317596435544,0.03517689646341251,5,5
192000,broadcast,0.36019815246264136,0.04858786173873918,5,5
204000,broadcast,0.351756064414978,0.05978485511817208,5,5
216000,broadcast,0.36371322083473206,0.048556336685098754,5,5
228000,broadcast,0.37338759489854173,0.061752584408777754,5,5
240000,broadcast,0.3770109577973683,0.04818181020247344,5,5
252000,broadcast,0.3775652854442596,0.04296180355364043,5,5
264000,broadcast,0.3780411494572957,0.02852513089294514,5,5
276000,broadcast,0.38995075575510657,0.028990873732320486,5,5
288000,broadcast,0.4038634326457977,0.03386991896142348,5,5
300000,broadcast,0.39378763182957965,0.043658115693901246,5,5
312000,broadcast,0.4042127608855566,0.05469901245892041,5,5
324000,broadcast,0.417241166472435,0.07054131541830759,5,5
336000,broadcast,0.4251353637774785,0.07928575086358909,5,5
348000,broadcast,0.448681489666303,0.09114512834028357,5,5
360000,broadcast,0.4677805066903432,0.11362244403146693,5,5
372000,broadcast,0.49644285261631016,0.12942310622229705,5,5
384000,broadcast,0.5213638702630996,0.15395578307575591,5,5
396000,broadcast,0.5300396897792816,0.1631069953049208,5,5
408000,broadcast,0.5429323104222615,0.1873444099402999,5,5
420000,broadcast,0.5744215136766433,0.20635212885483925,5,5
