frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.171875,0.16937096397405313,5,5
12000,identity,0.21875,0.19452968121857395,5,5
24000,identity,0.296875,0.15027643798180737,5,5
36000,identity,0.75,1.1661317598153307,5,5
48000,identity,0.296875,0.20222154852413726,5,5
60000,identity,1.265625,0.8828470679072905,5,5
72000,identity,0.84375,0.6086734743994517,5,5
84000,identity,0.828125,0.45754845201082256,5,5
96000,identity,1.5625,1.2512201076599192,5,5
108000,identity,1.65625,1.5153028008041824,5,5
120000,identity,8.09375,6.415437390705524,5,5
132000,identity,3.921875,2.4830971556455457,5,5
144000,identity,3.109375,1.8581600547483794,5,5
156000,identity,5.0,2.9548399451683505,5,5
168000,identity,3.484375,2.079211417145332,5,5
180000,identity,4.921875,3.753660322979758,5,5
192000,identity,8.53125,4.055507804786905,5,5
204000,identity,4.890625,5.4513114821114375,5,5
216000,identity,6.015625,3.1700849320739817,5,5
228000,identity,4.5625,3.830754836476422,5,5
240000,identity,5.578125,2.5749269938073,5,5
252000,identity,5.390625,2.8081563680642856,5,5
264000,identity,9.421875,8.926204345825694,5,5
276000,identity,9.203125,9.947432634384864,5,5
288000,identity,9.296875,6.268283803078599,5,5
300000,identity,7.609375,8.138247913498489,5,5
312000,identity,14.328125,14.284980537099534,5,5
324000,identity,5.25,3.548199780126184,5,5
336000,identity,13.359375,12.631510349555887,5,5
348000,identity,14.328125,13.398448888479125,5,5
360000,identity,25.734375,27.876429773449512,5,5
372000,identity,35.609375,46.036557473636506,5,5
384000,identity,45.8125,71.44832595134753,5,5
396000,identity,69.15625,91.21023320124229,5,5
408000,identity,73.09375,94.17883042175336,5,5
420000,identity,89.046875,113.74573953216336,5,5
432000,identity,93.1875,107.61240773187617,5,5
444000,identity,111.28125,143.53661769777491,5,5
456000,identity,99.84375,125.93525849044296,5,5
468000,identity,108.546875,139.83327038247862,5,5
480000,identity,125.53125,163.40704633818197,5,5
492000,identity,144.609375,189.02499950920017,5,5
504000,identity,150.640625,201.37507486371592,5,5
516000,identity,162.75,199.24495385264387,5,5
528000,identity,173.765625,216.19598172641517,5,5
540000,identity,164.1875,205.4230328773369,5,5
552000,identity,185.921875,229.55954397174523,5,5
564000,identity,174.296875,222.9930361357481,5,5
576000,identity,189.75,238.6064341033322,5,5
588000,identity,209.875,246.6288243039306,5,5
600000,identity,184.265625,241.67560317079742,5,5
6000,broadcast,0.296875,0.3639317093391286,5,5
12000,broadcast,0.234375,0.2209708691207961,5,5
24000,broadcast,0.53125,0.851168199997803,5,5
36000,broadcast,0.6875,0.6061613981647133,5,5
48000,broadcast,0.34375,0.23175620272173947,5,5
60000,broadcast,0.25,0.20222154852413726,5,5
72000,broadcast,0.390625,0.17469281074217108,5,5
84000,broadcast,0.40625,0.3921843874378479,5,5
96000,broadcast,0.734375,0.39296176062372784,5,5
108000,broadcast,1.6875,1.286811481555282,5,5
120000,broadcast,3.59375,2.2166032748611104,5,5
132000,broadcast,3.125,3.2419521751947546,5,5
144000,broadcast,6.59375,8.307116148877268,5,5
156000,broadcast,2.75,1.8573386958899014,5,5
168000,broadcast,3.90625,5.475163649808789,5,5
180000,broadcast,4.96875,5.09660100428462,5,5
192000,broadcast,10.328125,8.07609984286196,5,5
204000,broadcast,11.359375,8.589594165598715,5,5
216000,broadcast,16.03125,9.01580778627531,5,5
228000,broadcast,12.09375,7.8174593634017375,5,5
240000,broadcast,19.4375,16.014138650540964,5,5
252000,broadcast,24.65625,23.249414580163357,5,5
264000,broadcast,40.28125,39.0647889954344,5,5
276000,broadcast,53.515625,42.27721219402289,5,5
288000,broadcast,53.78125,45.60123524916842,5,5
300000,broadcast,64.359375,61.68740303627131,5,5
312000,broadcast,88.640625,84.18915078768501,5,5
324000,broadcast,102.828125,93.99115143380021,5,5
336000,broadcast,107.78125,94.0797034465242,5,5
348000,broadcast,144.65625,141.41098274193226,5,5
360000,broadcast,150.359375,138.14130011994285,5,5
372000,broadcast,176.71875,157.4570854698144,5,5
384000,broadcast,199.984375,191.14863403375068,5,5
396000,broadcast,228.984375,218.34399403566226,5,5
408000,broadcast,249.09375,243.0846827010439,5,5
420000,broadcast,281.140625,274.52353299128225,5,5
432000,broadcast,312.125,311.2156536960645,5,5
444000,broadcast,292.96875,273.0056187537058,5,5
456000,broadcast,295.90625,286.37720524951607,5,5
468000,broadcast,308.09375,300.1408340490708,5,5
480000,broadcast,316.765625,318.02593542896585,5,5
492000,broadcast,337.078125,345.1146854571159,5,5
504000,broadcast,327.25,311.1270102056268,5,5
516000,broadcast,330.890625,312.5797388501827,5,5
528000,broadcast,334.0625,323.8201474816523,5,5
540000,broadcast,323.859375,311.07760564431254,5,5
552000,broadcast,370.25,350.25570231880016,5,5
564000,broadcast,345.875,334.48003880994855,5,5
576000,broadcast,344.0625,334.43384868387324,5,5
588000,broadcast,357.25,345.8903333148587,5,5
600000,broadcast,359.75,344.23147389102513,5,5
6000,gated,0.203125,0.18814991529362962,5,5
12000,gated,0.140625,0.06536406457297465,5,5
24000,gated,0.21875,0.27841452626883534,5,5
36000,gated,1.453125,2.6038020578089265,5,5
48000,gated,0.640625,0.670693000979211,5,5
60000,gated,0.421875,0.4771384838938272,5,5
72000,gated,0.3125,0.21395412402545552,5,5
84000,gated,1.890625,2.9812647405295962,5,5
96000,gated,0.8125,0.37304176207229134,5,5
108000,gated,1.0,1.0859093971183784,5,5
120000,gated,2.15625,1.9737968546528541,5,5
132000,gated,1.1875,1.0859093971183784,5,5
144000,gated,3.328125,3.693668701516488,5,5
156000,gated,6.96875,3.845385195879276,5,5
168000,gated,2.28125,0.9995726625976222,5,5
180000,gated,5.40625,4.431622978837719,5,5
192000,gated,3.921875,2.615962866470012,5,5
204000,gated,7.0625,3.413266855228287,5,5
216000,gated,10.25,9.536435577070973,5,5
228000,gated,15.53125,20.94379569526498,5,5
240000,gated,20.328125,29.76713209767297,5,5
252000,gated,21.546875,16.740858629599916,5,5
264000,gated,16.21875,22.827919125526147,5,5
276000,gated,36.03125,46.49420195497163,5,5
288000,gated,26.921875,34.17844194159072,5,5
300000,gated,31.421875,46.971333303875355,5,5
312000,gated,40.421875,64.1977801833424,5,5
324000,gated,33.609375,50.021888519474025,5,5
336000,gated,38.40625,57.45249502476209,5,5
348000,gated,60.125,95.70775817866563,5,5
360000,gated,55.03125,95.2261167204883,5,5
372000,gated,55.140625,98.30854648757655,5,5
384000,gated,68.34375,122.58004698939332,5,5
396000,gated,63.203125,101.85017850894856,5,5
408000,gated,74.171875,109.77287565020616,5,5
420000,gated,88.8125,125.90978002156197,5,5
432000,gated,88.8125,127.83220164474892,5,5
444000,gated,112.1875,163.59466406740816,5,5
456000,gated,121.96875,149.54103979512718,5,5
468000,gated,106.28125,145.84333275800077,5,5
480000,gated,121.28125,153.06598232882791,5,5
492000,gated,129.8125,172.0211523489735,5,5
504000,gated,146.03125,194.31986349981295,5,5
516000,gated,141.34375,171.05216211169602,5,5
528000,gated,166.28125,206.45620019184759,5,5
540000,gated,156.140625,193.1780921029988,5,5
552000,gated,181.359375,237.89383592865866,5,5
564000,gated,169.203125,220.52747019885004,5,5
576000,gated,159.5,201.7260540408855,5,5
588000,gated,182.609375,218.37636617703734,5,5
600000,gated,177.734375,221.81749915118849,5,5
6000,attention,0.25,0.21678807696111888,5,5
12000,attention,0.21875,0.13975424859373686,5,5
24000,attention,0.328125,0.40368783383636914,5,5
36000,attention,2.546875,4.03408028067582,5,5
48000,attention,1.328125,1.8446435864246242,5,5
60000,attention,3.5,3.7736882033694834,5,5
72000,attention,1.765625,1.5679592130377626,5,5
84000,attention,1.203125,1.1569360295895794,5,5
96000,attention,2.3125,2.3107045394749197,5,5
108000,attention,2.40625,2.2799921617875136,5,5
120000,attention,6.1875,7.746478849794435,5,5
132000,attention,4.203125,4.573950208278672,5,5
144000,attention,4.234375,3.5236020610129914,5,5
156000,attention,2.5625,1.4088517598562313,5,5
168000,attention,2.359375,1.6677446058412242,5,5
180000,attention,4.78125,4.59226166365768,5,5
192000,attention,4.921875,4.040278769969035,5,5
204000,attention,3.046875,1.2585159135614854,5,5
216000,attention,9.734375,7.24703603206166,5,5
228000,attention,2.984375,1.3990702130120203,5,5
240000,attention,6.21875,4.387050925201632,5,5
252000,attention,4.765625,1.4213597967703322,5,5
264000,attention,4.46875,3.628147206004395,5,5
276000,attention,15.90625,10.090623306364057,5,5
288000,attention,7.171875,4.426799929654321,5,5
300000,attention,6.25,6.429787172678229,5,5
312000,attention,9.671875,9.493939524523658,5,5
