frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.0125,0.010481568644530264,5,5
12000,identity,0.015625,0.011048543456039806,5,5
24000,identity,0.0171875,0.010186253758129139,5,5
36000,identity,0.0171875,0.011587810136086974,5,5
48000,identity,0.0234375,0.011048543456039806,5,5
60000,identity,0.03125,0.02139541240254555,5,5
72000,identity,0.0421875,0.020372507516258277,5,5
84000,identity,0.0359375,0.008907620508587014,5,5
96000,identity,0.053125,0.018652088103614566,5,5
108000,identity,0.0546875,0.04384754750125713,5,5
120000,identity,0.1125,0.0580968513830569,5,5
132000,identity,0.1015625,0.04207160005573831,5,5
144000,identity,0.1078125,0.048601034421861845,5,5
156000,identity,0.115625,0.053102017087395086,5,5
168000,identity,0.134375,0.03378398173506196,5,5
180000,identity,0.1484375,0.028168369339562415,5,5
192000,identity,0.1625,0.026722861525761046,5,5
204000,identity,0.14375,0.05485465525481862,5,5
216000,identity,0.1578125,0.03286825619994161,5,5
228000,identity,0.184375,0.07108945728798328,5,5
240000,identity,0.18125,0.057780819022189366,5,5
252000,identity,0.1734375,0.0533885923852184,5,5
264000,identity,0.14375,0.01620034480728728,5,5
276000,identity,0.18125,0.08219849023476648,5,5
288000,identity,0.1984375,0.05229125165837972,5,5
300000,identity,0.19375,0.06111752254877483,5,5
312000,identity,0.2140625,0.08639791438093283,5,5
324000,identity,0.19375,0.06638326808202501,5,5
336000,identity,0.2375,0.1466379403390371,5,5
348000,identity,0.253125,0.1267696992211664,5,5
360000,identity,0.3265625,0.22476387349421836,5,5
372000,identity,0.3953125,0.27585980644613667,5,5
384000,identity,0.4046875,0.3186599903551197,5,5
396000,identity,0.4140625,0.3425493948186524,5,5
408000,identity,0.4046875,0.32204182569970624,5,5
420000,identity,0.509375,0.32175741177360623,5,5
432000,identity,0.4859375,0.37870081415363366,5,5
444000,identity,0.509375,0.39379185045449455,5,5
456000,identity,0.5109375,0.3807982723421287,5,5
468000,identity,0.4984375,0.37334432676568824,5,5
480000,identity,0.4671875,0.3642418415567122,5,5
492000,identity,0.5125,0.386169907250196,5,5
504000,identity,0.4859375,0.4187310513436697,5,5
516000,identity,0.5171875,0.3892710911715318,5,5
528000,identity,0.5203125,0.3647943957517371,5,5
540000,identity,0.515625,0.34560931813429163,5,5
552000,identity,0.5375,0.37505696181963477,5,5
564000,identity,0.528125,0.3621496151454534,5,5
576000,identity,0.4984375,0.3931325764373261,5,5
588000,identity,0.56875,0.33257767537261124,5,5
600000,identity,0.5515625,0.3429767581639097,5,5
6000,broadcast,0.015625,0.0078125,5,5
12000,broadcast,0.0125,0.00427908248050911,5,5
24000,broadcast,0.0125,0.011848242881330549,5,5
36000,broadcast,0.028125,0.011848242881330549,5,5
48000,broadcast,0.021875,0.012837247441527332,5,5
60000,broadcast,0.021875,0.020222154852413726,5,5
72000,broadcast,0.021875,0.010186253758129139,5,5
84000,broadcast,0.025,0.016937096397405312,5,5
96000,broadcast,0.040625,0.01502764379818074,5,5
108000,broadcast,0.0515625,0.023824922940588914,5,5
120000,broadcast,0.0625,0.016572815184059706,5,5
132000,broadcast,0.0875,0.03095564493149836,5,5
144000,broadcast,0.1,0.04328717242873459,5,5
156000,broadcast,0.0859375,0.044538102542935075,5,5
168000,broadcast,0.0875,0.05395717703072502,5,5
180000,broadcast,0.109375,0.030257682392245445,5,5
192000,broadcast,0.140625,0.05767509007903672,5,5
204000,broadcast,0.1515625,0.0525822458451995,5,5
216000,broadcast,0.16875,0.05229125165837972,5,5
228000,broadcast,0.1828125,0.028491535201266356,5,5
240000,broadcast,0.2578125,0.04384754750125713,5,5
252000,broadcast,0.284375,0.10029254084925758,5,5
264000,broadcast,0.35625,0.1962944067991368,5,5
276000,broadcast,0.415625,0.18350230435371923,5,5
288000,broadcast,0.44375,0.23904207429080346,5,5
300000,broadcast,0.4921875,0.2899584931233693,5,5
312000,broadcast,0.5203125,0.33231146264178885,5,5
324000,broadcast,0.56875,0.3461122667168487,5,5
336000,broadcast,0.5578125,0.33240328421869575,5,5
348000,broadcast,0.565625,0.3613059537116708,5,5
360000,broadcast,0.5703125,0.3921454783264433,5,5
372000,broadcast,0.60625,0.37335250078679,5,5
384000,broadcast,0.6265625,0.33817387874527655,5,5
396000,broadcast,0.615625,0.371130754733928,5,5
408000,broadcast,0.615625,0.35960420679807825,5,5
420000,broadcast,0.609375,0.40583662863352415,5,5
432000,broadcast,0.5828125,0.3881798471713852,5,5
444000,broadcast,0.6046875,0.3718782825485376,5,5
456000,broadcast,0.6265625,0.3439896181890887,5,5
468000,broadcast,0.609375,0.3656467007448925,5,5
480000,broadcast,0.6109375,0.3869120413406321,5,5
492000,broadcast,0.6140625,0.39154578974718907,5,5
