frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.0171875,0.016937096397405312,5,5
12000,identity,0.021875,0.019452968121857393,5,5
24000,identity,0.0296875,0.015027643798180739,5,5
36000,identity,0.075,0.11661317598153306,5,5
48000,identity,0.0296875,0.020222154852413726,5,5
60000,identity,0.1234375,0.08547460560379908,5,5
72000,identity,0.084375,0.06086734743994517,5,5
84000,identity,0.0828125,0.04575484520108226,5,5
96000,identity,0.146875,0.10559887805689509,5,5
108000,identity,0.1484375,0.12560886867823068,5,5
120000,identity,0.6359375,0.41800890578132427,5,5
132000,identity,0.35625,0.21449545631842648,5,5
144000,identity,0.2890625,0.14051645116097616,5,5
156000,identity,0.48125,0.2708921710928077,5,5
168000,identity,0.34375,0.2037999603241497,5,5
180000,identity,0.45625,0.308845822680994,5,5
192000,identity,0.6890625,0.22679137146698286,5,5
204000,identity,0.4296875,0.41747561446373727,5,5
216000,identity,0.596875,0.3188610407077823,5,5
228000,identity,0.45,0.3732707525208746,5,5
240000,identity,0.5375,0.24898475496127268,5,5
252000,identity,0.509375,0.2600166198113593,5,5
264000,identity,0.69375,0.5618051263561058,5,5
276000,identity,0.7625,0.7088008758746175,5,5
288000,identity,0.8375,0.5040546050993632,5,5
300000,identity,0.615625,0.5126690841505366,5,5
312000,identity,1.0828125,0.9923197500443721,5,5
324000,identity,0.5046875,0.34052105638822106,5,5
336000,identity,1.1671875,1.2033862338145536,5,5
348000,identity,1.2984375,1.2395978312352458,5,5
360000,identity,2.1953125,2.4491097214568347,5,5
372000,identity,3.1359375,4.111493186264951,5,5
384000,identity,4.21875,6.615533939648456,5,5
396000,identity,5.884375,7.8666665201133235,5,5
408000,identity,6.1609375,7.936370721218193,5,5
420000,identity,7.4859375,9.528053062720403,5,5
432000,identity,7.8734375,9.467625758340894,5,5
444000,identity,9.3875,12.032884172702397,5,5
456000,identity,8.828125,11.059320197571905,5,5
468000,identity,9.3328125,11.906755699972521,5,5
480000,identity,10.371875,13.405604178427463,5,5
492000,identity,11.6125,15.202426034163716,5,5
504000,identity,12.1796875,16.22279686686589,5,5
516000,identity,13.2546875,16.42715149234169,5,5
528000,identity,13.93125,17.428000779826718,5,5
