frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,98.915625,0.874815131140217,5,5
12000,identity,98.8875,0.5660047068046343,5,5
24000,identity,98.7859375,0.8229978368459573,5,5
36000,identity,98.7125,0.8068349682652736,5,5
48000,identity,98.221875,0.8707801425392204,5,5
60000,identity,98.0328125,1.3999795094761653,5,5
72000,identity,97.534375,1.7009518819436074,5,5
84000,identity,97.7546875,0.8223857728432563,5,5
96000,identity,96.9625,1.2828258220989122,5,5
108000,identity,95.9953125,3.741341729841465,5,5
120000,identity,92.7,4.954389748819033,5,5
132000,identity,93.946875,2.741260304429447,5,5
144000,identity,92.896875,4.043953307051082,5,5
156000,identity,91.8515625,4.181720446021216,5,5
168000,identity,89.9296875,2.641347210779118,5,5
180000,identity,89.1234375,1.9823393224806707,5,5
192000,identity,88.59375,1.4591922228957277,5,5
204000,identity,89.76875,3.6210183210860207,5,5
216000,identity,88.4984375,3.125363260136732,5,5
228000,identity,85.609375,5.861267923403764,5,5
240000,identity,86.1265625,4.810125860205284,5,5
252000,identity,86.5484375,3.9403952958923583,5,5
264000,identity,89.025,1.5704038375177976,5,5
276000,identity,86.75625,4.865435955905249,5,5
288000,identity,85.4859375,3.9975059363229843,5,5
300000,identity,85.54375,3.578643521381391,5,5
312000,identity,83.8890625,5.176261475363095,5,5
324000,identity,84.690625,4.50600998407266,5,5
336000,identity,82.20625,8.614677289076004,5,5
348000,identity,83.6015625,6.658979688964885,5,5
360000,identity,78.8984375,11.985867125168188,5,5
372000,identity,72.5859375,16.988308644925027,5,5
384000,identity,71.078125,24.344435088442506,5,5
396000,identity,69.5546875,26.63993767441799,5,5
408000,identity,70.053125,24.989082332887772,5,5
420000,identity,61.6359375,24.075385019109444,5,5
432000,identity,61.4453125,29.904996871603664,5,5
444000,identity,58.325,33.13038521231539,5,5
456000,identity,56.9546875,32.80809698881274,5,5
468000,identity,58.734375,31.635168800392023,5,5
480000,identity,60.325,31.71315260032598,5,5
492000,identity,56.884375,33.74476657557783,5,5
504000,identity,59.1328125,36.46728638210168,5,5
516000,identity,56.3859375,34.11120129744888,5,5
528000,identity,55.8578125,32.056999653845345,5,5
540000,identity,55.7015625,30.511857226273268,5,5
552000,identity,54.0703125,32.97809312960414,5,5
564000,identity,54.6703125,32.379264827532516,5,5
576000,identity,57.309375,34.576136338543705,5,5
588000,identity,50.9234375,30.061035323597267,5,5
600000,identity,53.1859375,31.073566097404488,5,5
6000,broadcast,98.721875,0.672478834762199,5,5
12000,broadcast,99.153125,0.374332087482158,5,5
24000,broadcast,98.9875,0.8018114562215515,5,5
36000,broadcast,97.9578125,0.8908922296460723,5,5
48000,broadcast,98.3796875,1.0007413023838254,5,5
60000,broadcast,98.3171875,1.5871935451007149,5,5
72000,broadcast,98.35625,0.8741031955578099,5,5
84000,broadcast,98.6125,1.3429503434602488,5,5
96000,broadcast,97.4515625,0.9500848029583991,5,5
108000,broadcast,96.99375,1.4022773748219357,5,5
120000,broadcast,96.334375,1.17615624211215,5,5
132000,broadcast,94.85,1.462069247462308,5,5
144000,broadcast,93.5671875,2.466342031750285,5,5
156000,broadcast,94.4890625,2.28493655461016,5,5
168000,broadcast,94.465625,3.310761078062811,5,5
180000,broadcast,93.0265625,2.536288147738615,5,5
192000,broadcast,91.1515625,2.668684132676627,5,5
204000,broadcast,90.2703125,2.624119783598278,5,5
216000,broadcast,88.853125,3.6416617689528943,5,5
228000,broadcast,87.8953125,2.3648180695252488,5,5
240000,broadcast,82.9828125,1.3075310517046526,5,5
252000,broadcast,81.3421875,6.970933566956572,5,5
264000,broadcast,76.875,11.709755662931096,5,5
276000,broadcast,71.9015625,10.95748258317333,5,5
288000,broadcast,70.01875,15.236267510655292,5,5
300000,broadcast,65.440625,19.10655338045243,5,5
312000,broadcast,62.1375,23.86885325611012,5,5
324000,broadcast,58.2984375,24.234054765977373,5,5
336000,broadcast,57.6984375,24.884448901254384,5,5
348000,broadcast,55.425,27.68585302134524,5,5
360000,broadcast,54.096875,31.374738641995343,5,5
372000,broadcast,51.534375,30.741996207314628,5,5
384000,broadcast,49.7734375,28.522309790087455,5,5
396000,broadcast,49.325,30.817623852941782,5,5
408000,broadcast,49.76875,30.43257397654511,5,5
420000,broadcast,49.625,33.68229926735327,5,5
432000,broadcast,52.0109375,32.174768321663706,5,5
444000,broadcast,49.5203125,31.812314183979673,5,5
456000,broadcast,48.35,28.757463047150093,5,5
468000,broadcast,49.253125,31.272226763504495,5,5
480000,broadcast,49.925,32.1850786976121,5,5
492000,broadcast,49.1015625,33.62658233890149,5,5
