frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.0,0.0,5,5
12000,identity,0.0,0.0,5,5
24000,identity,0.0,0.0,5,5
36000,identity,0.0,0.0,5,5
48000,identity,0.0,0.0,5,5
60000,identity,0.003125,0.0069877124296868435,5,5
72000,identity,0.0,0.0,5,5
84000,identity,0.0,0.0,5,5
96000,identity,0.009375,0.02096313728906053,5,5
108000,identity,0.0171875,0.03843241836327764,5,5
120000,identity,0.1734375,0.2680495960405462,5,5
132000,identity,0.0359375,0.03689287172849248,5,5
144000,identity,0.021875,0.0489139870078079,5,5
156000,identity,0.01875,0.02954323500185787,5,5
168000,identity,0.0046875,0.006987712429686843,5,5
180000,identity,0.0359375,0.07194290270763336,5,5
192000,identity,0.1640625,0.22357950033209664,5,5
204000,identity,0.059375,0.12844377265704632,5,5
216000,identity,0.0046875,0.004279082480509111,5,5
228000,identity,0.00625,0.01018625375812914,5,5
240000,identity,0.0203125,0.029543235001857873,5,5
252000,identity,0.0296875,0.06638326808202501,5,5
264000,identity,0.2453125,0.3389040528398119,5,5
276000,identity,0.1578125,0.3228935643617723,5,5
288000,identity,0.0921875,0.1422861951424839,5,5
300000,identity,0.1453125,0.3077569746874147,5,5
312000,identity,0.35,0.4416447088193461,5,5
324000,identity,0.0203125,0.03730417620722914,5,5
336000,identity,0.1671875,0.24172082053088642,5,5
348000,identity,0.134375,0.20405436430948984,5,5
360000,identity,0.378125,0.3613059537116708,5,5
372000,identity,0.4234375,0.5626735843275389,5,5
384000,identity,0.359375,0.5352845421041271,5,5
396000,identity,1.0234375,1.2592552866488689,5,5
408000,identity,1.14375,1.484155000144232,5,5
420000,identity,1.409375,1.86981379107152,5,5
432000,identity,1.440625,1.3218209762896695,5,5
444000,identity,1.7328125,2.355843797877949,5,5
456000,identity,1.140625,1.6449997476965992,5,5
468000,identity,1.4953125,2.142239639682761,5,5
480000,identity,2.13125,2.9025482557492692,5,5
492000,identity,2.7984375,3.632986386967425,5,5
504000,identity,2.865625,3.9330774083903592,5,5
516000,identity,2.9546875,3.428073901453719,5,5
528000,identity,3.3953125,4.1257234805887375,5,5
540000,identity,3.265625,3.9843673406789124,5,5
552000,identity,3.7296875,4.518201173664484,5,5
564000,identity,3.3640625,4.370060688356842,5,5
576000,identity,3.890625,4.981331114066676,5,5
588000,identity,4.4484375,5.140392281966426,5,5
600000,identity,3.1625,4.580495466726621,5,5
6000,broadcast,0.0,0.0,5,5
12000,broadcast,0.0,0.0,5,5
24000,broadcast,0.0,0.0,5,5
36000,broadcast,0.0,0.0,5,5
48000,broadcast,0.0,0.0,5,5
60000,broadcast,0.0,0.0,5,5
72000,broadcast,0.0,0.0,5,5
84000,broadcast,0.0,0.0,5,5
96000,broadcast,0.0,0.0,5,5
108000,broadcast,0.0125,0.023824922940588918,5,5
120000,broadcast,0.0546875,0.07138932375975417,5,5
132000,broadcast,0.0109375,0.020372507516258277,5,5
144000,broadcast,0.165625,0.35730552238682933,5,5
156000,broadcast,0.0296875,0.05804429881564597,5,5
168000,broadcast,0.0546875,0.12228496751951975,5,5
180000,broadcast,0.0734375,0.16421124209764085,5,5
192000,broadcast,0.259375,0.2751841535397251,5,5
204000,broadcast,0.2984375,0.34452150638149576,5,5
216000,broadcast,0.375,0.3558334324380229,5,5
228000,broadcast,0.221875,0.21349720065495004,5,5
240000,broadcast,0.4328125,0.564574084141643,5,5
252000,broadcast,0.4265625,0.6124870454624939,5,5
264000,broadcast,0.828125,0.9341084486021952,5,5
276000,broadcast,0.9640625,0.6085631611375684,5,5
288000,broadcast,0.85,0.8039741984160624,5,5
300000,broadcast,0.921875,0.9618580448473153,5,5
312000,broadcast,1.4265625,1.9273264908530026,5,5
324000,broadcast,1.346875,1.4966658093648946,5,5
336000,broadcast,1.4109375,1.4126438844027978,5,5
348000,broadcast,2.4265625,2.973970533213447,5,5
360000,broadcast,2.43125,2.5331204508964826,5,5
372000,broadcast,3.0390625,2.8289665529681507,5,5
