frames,method,mean,std,completed_seeds,expected_seeds
6000,identity,0.2128931049257517,0.38464259084149177,5,5
12000,identity,0.05778996534645555,0.05088549084987837,5,5
18000,identity,0.24577422365546223,0.3557425229336398,5,5
24000,identity,0.06604039371013637,0.05257716488690647,5,5
30000,identity,0.1787261240184307,0.19852888554178533,5,5
36000,identity,0.11658552214503284,0.062446884475121124,5,5
42000,identity,0.13410604931414122,0.13160239739631346,5,5
48000,identity,0.0472686871886253,0.011964010764614985,5,5
54000,identity,0.1427438600454479,0.15211604001210166,5,5
60000,identity,0.07707176432013507,0.030380687673775778,5,5
66000,identity,0.11453674733638756,0.08843767988608818,5,5
72000,identity,0.13427016250789164,0.12119926020658876,5,5
78000,identity,0.091800320520997,0.05705554100750948,5,5
84000,identity,0.164217334985733,0.07878620237440202,5,5
90000,identity,0.11071705520153041,0.06877796111132016,5,5
96000,identity,0.09049772284924981,0.04617901279204102,5,5
102000,identity,0.16550271771848196,0.1586003964293578,5,5
108000,identity,0.09642241969704624,0.05227051434679299,5,5
114000,identity,0.09078125990927216,0.07330021358906735,5,5
120000,identity,0.08923173137009141,0.03859794407956474,5,5
126000,identity,0.07755369320511811,0.02869917570235319,5,5
132000,identity,0.09955568909645081,0.021742541585188183,5,5
138000,identity,0.11177488341927524,0.053070337773247704,5,5
144000,identity,0.14769901335239408,0.10338668890508769,5,5
150000,identity,0.15221389979124061,0.11430794705747065,5,5
156000,identity,0.2011990323662758,0.08045229447747844,5,5
162000,identity,0.23061089590191836,0.11457503772166508,5,5
168000,identity,0.17916999459266655,0.11197202247352853,5,5
174000,identity,0.16893862485885616,0.05654457640052217,5,5
180000,identity,0.23037565648555755,0.11584606907064993,5,5
186000,identity,0.22109107375144954,0.06373594334021343,5,5
192000,identity,0.25434723794460296,0.09590605241944047,5,5
198000,identity,0.18245205432176584,0.1218109974949586,5,5
204000,identity,0.2029499292373657,0.0845396119887488,5,5
210000,identity,0.28249357044696805,0.10835018891439716,5,5
216000,identity,0.24914723932743071,0.13278724234370198,5,5
222000,identity,0.2744132339954376,0.0695445447802344,5,5
228000,identity,0.28503704369068145,0.062364244183702934,5,5
234000,identity,0.205815190076828,0.07211375059806868,5,5
240000,identity,0.26865277290344236,0.11304635154067386,5,5
246000,identity,0.25441413521766665,0.08479038586170923,5,5
252000,identity,0.2772179454565048,0.13066973185429176,5,5
258000,identity,0.2932003945112228,0.08100500678457165,5,5
264000,identity,0.2311656266450882,0.04774261379732789,5,5
270000,identity,0.3559183031320572,0.1825576807144955,5,5
276000,identity,0.3301144659519195,0.11094801166921536,5,5
282000,identity,0.36789112687110903,0.06358479080650332,5,5
288000,identity,0.2924026131629944,0.08472405355456984,5,5
294000,identity,0.29290407001972196,0.06697349677958743,5,5
300000,identity,0.30592781305313105,0.0645763458105456,5,5
306000,identity,0.2810707062482834,0.09939170995144334,5,5
312000,identity,0.3024925947189331,0.11422534282604556,5,5
318000,identity,0.3454803377389908,0.10312247882735956,5,5
324000,identity,0.28542827963829037,0.029421531652801185,5,5
330000,identity,0.2932000279426574,0.0537197892204628,5,5
336000,identity,0.260303258895874,0.07454913955396873,5,5
342000,identity,0.26333788633346555,0.09546824225568631,5,5
348000,identity,0.26081790030002594,0.051062612470667845,5,5
354000,identity,0.28638567328453063,0.06916732735306261,5,5
360000,identity,0.2824489951133728,0.09117929398332458,5,5
366000,identity,0.2541261702775955,0.06996184022019435,5,5
372000,identity,0.2792904496192932,0.0925578274314655,5,5
378000,identity,0.3651921957731247,0.1328114873569274,5,5
384000,identity,0.294092246890068,0.07217735532575291,5,5
390000,identity,0.2781243592500686,0.10614697629302074,5,5
396000,identity,0.29487799853086466,0.1296925498361635,5,5
402000,identity,0.2764318704605102,0.1281899149326892,5,5
408000,identity,0.2710401177406311,0.08938643152610405,5,5
414000,identity,0.22284653931856152,0.10849425872017468,5,5
420000,identity,0.2731718853116035,0.11811373390178144,5,5
426000,identity,0.29682420045137403,0.12433299270914383,5,5
432000,identity,0.2597144924104214,0.14655717375994326,5,5
438000,identity,0.2320002019405365,0.10581000759382295,5,5
444000,identity,0.24441437721252438,0.13519097122417378,5,5
450000,identity,0.27256437763571734,0.19118756019028021,5,5
456000,identity,0.283060997724533,0.18890498661879115,5,5
462000,identity,0.28103325739502905,0.21649792873767448,5,5
468000,identity,0.23482439368963237,0.15302998882176413,5,5
474000,identity,0.2858554624021053,0.21823833078902147,5,5
480000,identity,0.27939912825822827,0.16042758369853333,5,5
486000,identity,0.25819922685623165,0.13366819028249,5,5
