task,method,seed,phase,group,metric,value
PCP,identity,1100,collection,adversary,health_transition_count,6000.0
PCP,identity,1100,collection,adversary,loc_scalar_count,36000.0
PCP,identity,1100,collection,adversary,loc_finite_fraction,1.0
PCP,identity,1100,collection,adversary,loc_mean,0.0040624318644404
PCP,identity,1100,collection,adversary,loc_std,0.6274312138557434
PCP,identity,1100,collection,adversary,loc_min,-2.2953052520751953
PCP,identity,1100,collection,adversary,loc_max,2.844670295715332
PCP,identity,1100,collection,adversary,loc_q01,-1.5319195985794067
PCP,identity,1100,collection,adversary,loc_q50,0.0286095775663852
PCP,identity,1100,collection,adversary,loc_q99,1.5611472129821775
PCP,identity,1100,collection,adversary,scale_scalar_count,36000.0
PCP,identity,1100,collection,adversary,scale_finite_fraction,1.0
PCP,identity,1100,collection,adversary,scale_mean,0.3361389935016632
PCP,identity,1100,collection,adversary,scale_std,0.1612269282341003
PCP,identity,1100,collection,adversary,scale_min,0.0674130693078041
PCP,identity,1100,collection,adversary,scale_max,0.8996995687484741
PCP,identity,1100,collection,adversary,scale_q01,0.0978181734681129
PCP,identity,1100,collection,adversary,scale_q50,0.2980855107307434
PCP,identity,1100,collection,adversary,scale_q99,0.7199116945266724
PCP,identity,1100,collection,adversary,action_scalar_count,36000.0
PCP,identity,1100,collection,adversary,action_finite_fraction,1.0
PCP,identity,1100,collection,adversary,action_mean,0.008790336549282
PCP,identity,1100,collection,adversary,action_std,0.5323188900947571
PCP,identity,1100,collection,adversary,action_min,-0.9974796772003174
PCP,identity,1100,collection,adversary,action_max,0.9965152740478516
PCP,identity,1100,collection,adversary,action_q01,-0.9441038966178894
PCP,identity,1100,collection,adversary,action_q50,0.0206979922950267
PCP,identity,1100,collection,adversary,action_q99,0.9269837737083436
PCP,identity,1100,collection,adversary,action_saturated_fraction,0.0
PCP,identity,1100,collection,adversary,comm_message_dim,0.0
PCP,identity,1100,collection,adversary,comm_message_bits_per_sender,0.0
PCP,identity,1100,collection,adversary,comm_active_sender_fraction,0.0
PCP,identity,1100,collection,adversary,comm_active_edge_fraction,0.0
PCP,identity,1100,collection,adversary,comm_mean_message_norm,0.0
PCP,identity,1100,collection,adversary,comm_max_message_norm,0.0
PCP,identity,1100,collection,adversary,comm_communication_rounds,0.0
PCP,identity,1100,collection,adversary,comm_messages_per_step,0.0
PCP,identity,1100,collection,adversary,comm_active_edges_per_step,0.0
PCP,identity,1100,collection,adversary,comm_nominal_messages_per_step,0.0
PCP,identity,1100,collection,adversary,comm_potential_edges_per_step,0.0
PCP,identity,1100,collection,adversary,comm_realized_sender_scalars_per_step,0.0
PCP,identity,1100,collection,adversary,comm_realized_sender_bits_per_step,0.0
PCP,identity,1100,collection,adversary,comm_nominal_sender_scalars_per_step,0.0
PCP,identity,1100,collection,adversary,comm_nominal_sender_bits_per_step,0.0
PCP,identity,1100,collection,adversary,comm_realized_scalar_transmissions_per_step,0.0
PCP,identity,1100,collection,adversary,comm_realized_bits_per_step,0.0
PCP,identity,1100,collection,adversary,comm_nominal_scalar_transmissions_per_step,0.0
PCP,identity,1100,collection,adversary,comm_nominal_bits_per_step,0.0
PCP,identity,1100,collection,adversary,comm_encoder_norm_mean,3.355413165198432
PCP,identity,1100,collection,adversary,comm_contribution_norm_mean,0.0
PCP,identity,1100,collection,adversary,comm_zero_encoder_fraction,0.0
PCP,identity,1100,collection,adversary,comm_contribution_to_encoder_norm_ratio,0.0
PCP,identity,1100,collection,adversary,comm_transition_count,6000.0
PCP,identity,1100,collection,adversary,comm_agent_transition_count,18000.0
PCP,identity,1100,collection,adversary,comm_contribution_to_encoder_norm_ratio_count,18000.0
PCP,identity,1100,collection,adversary,replay_log_prob_max_abs_error,2.6226043701171875e-06
PCP,identity,1100,collection,adversary,replay_log_prob_scalar_count,18000.0
PCP,identity,1100,collection,adversary,replay_transition_count,6000.0
PCP,identity,1100,collection,adversary,replay_batched_log_prob_max_abs_error,2.6226043701171875e-06
PCP,identity,1100,collection,adversary,replay_batched_log_prob_max_tolerance_ratio,0.1338514685630798
PCP,identity,1100,collection,adversary,replay_accepted_log_prob_max_tolerance_ratio,0.1338514685630798
PCP,identity,1100,collection,adversary,replay_collection_shape_fallback_count,0.0
PCP,identity,1100,collection,adversary,replay_collection_shape_fallback_slices,0.0
PCP,identity,1100,collection,agent,health_transition_count,6000.0
PCP,identity,1100,collection,agent,loc_scalar_count,12000.0
PCP,identity,1100,collection,agent,loc_finite_fraction,1.0
PCP,identity,1100,collection,agent,loc_mean,0.0285346172749996
PCP,identity,1100,collection,agent,loc_std,0.1033237352967262
PCP,identity,1100,collection,agent,loc_min,-0.2632889449596405
PCP,identity,1100,collection,agent,loc_max,0.3777898252010345
PCP,identity,1100,collection,agent,loc_q01,-0.2146104574203491
PCP,identity,1100,collection,agent,loc_q50,0.0137320160865783
PCP,identity,1100,collection,agent,loc_q99,0.2860205173492431
PCP,identity,1100,collection,agent,scale_scalar_count,12000.0
PCP,identity,1100,collection,agent,scale_finite_fraction,1.0
PCP,identity,1100,collection,agent,scale_mean,0.9812713265419006
PCP,identity,1100,collection,agent,scale_std,0.1317002028226852
PCP,identity,1100,collection,agent,scale_min,0.7355219125747681
PCP,identity,1100,collection,agent,scale_max,1.3436400890350342
PCP,identity,1100,collection,agent,scale_q01,0.7815364003181458
PCP,identity,1100,collection,agent,scale_q50,0.9483455419540404
PCP,identity,1100,collection,agent,scale_q99,1.2767049074172974
PCP,identity,1100,collection,agent,action_scalar_count,12000.0
PCP,identity,1100,collection,agent,action_finite_fraction,1.0
PCP,identity,1100,collection,agent,action_mean,0.0131292650476098
PCP,identity,1100,collection,agent,action_std,0.626063346862793
PCP,identity,1100,collection,agent,action_min,-0.9997206926345824
PCP,identity,1100,collection,agent,action_max,0.999131679534912
PCP,identity,1100,collection,agent,action_q01,-0.9821273684501648
PCP,identity,1100,collection,agent,action_q50,0.0164518952369689
PCP,identity,1100,collection,agent,action_q99,0.9842339158058168
PCP,identity,1100,collection,agent,action_saturated_fraction,0.0003333333297632
PCP,identity,1100,collection,agent,replay_log_prob_max_abs_error,1.9073486328125e-06
PCP,identity,1100,collection,agent,replay_log_prob_scalar_count,6000.0
PCP,identity,1100,collection,agent,replay_transition_count,6000.0
PCP,identity,1100,collection,agent,replay_batched_log_prob_max_abs_error,1.9073486328125e-06
PCP,identity,1100,collection,agent,replay_batched_log_prob_max_tolerance_ratio,0.1458154320716858
PCP,identity,1100,collection,agent,replay_accepted_log_prob_max_tolerance_ratio,0.1458154320716858
PCP,identity,1100,collection,agent,replay_collection_shape_fallback_count,0.0
PCP,identity,1100,collection,agent,replay_collection_shape_fallback_slices,0.0
PCP,identity,1100,collection,,wall_time_seconds,1652.1977947112173
PCP,identity,1100,collection,,return_mean,460.6666564941406
PCP,identity,1100,collection,,comm_message_dim,0.0
PCP,identity,1100,collection,,comm_message_bits_per_sender,0.0
PCP,identity,1100,collection,,comm_active_sender_fraction,0.0
PCP,identity,1100,collection,,comm_active_edge_fraction,0.0
PCP,identity,1100,collection,,comm_mean_message_norm,0.0
PCP,identity,1100,collection,,comm_max_message_norm,0.0
PCP,identity,1100,collection,,comm_communication_rounds,0.0
PCP,identity,1100,collection,,comm_messages_per_step,0.0
PCP,identity,1100,collection,,comm_active_edges_per_step,0.0
PCP,identity,1100,collection,,comm_nominal_messages_per_step,0.0
PCP,identity,1100,collection,,comm_potential_edges_per_step,0.0
PCP,identity,1100,collection,,comm_realized_sender_scalars_per_step,0.0
PCP,identity,1100,collection,,comm_realized_sender_bits_per_step,0.0
PCP,identity,1100,collection,,comm_nominal_sender_scalars_per_step,0.0
PCP,identity,1100,collection,,comm_nominal_sender_bits_per_step,0.0
PCP,identity,1100,collection,,comm_realized_scalar_transmissions_per_step,0.0
PCP,identity,1100,collection,,comm_realized_bits_per_step,0.0
PCP,identity,1100,collection,,comm_nominal_scalar_transmissions_per_step,0.0
PCP,identity,1100,collection,,comm_nominal_bits_per_step,0.0
PCP,identity,1100,collection,,comm_encoder_norm_mean,3.355413165198432
PCP,identity,1100,collection,,comm_contribution_norm_mean,0.0
PCP,identity,1100,collection,,comm_zero_encoder_fraction,0.0
PCP,identity,1100,collection,,comm_contribution_to_encoder_norm_ratio,0.0
PCP,identity,1100,collection,,comm_transition_count,6000.0
PCP,identity,1100,collection,,comm_agent_transition_count,18000.0
PCP,identity,1100,collection,,comm_contribution_to_encoder_norm_ratio_count,18000.0
PCP,identity,1100,collection,adversary,return_mean,460.6666564941406
PCP,identity,1100,collection,agent,return_mean,-460.6666564941406
PCP,identity,1100,collection_domain,adversary,expected_predator_reward_mean,4.6066666666666665
PCP,identity,1100,collection_domain,adversary,contact_pairs_mean,0.4606666666666666
PCP,identity,1100,collection_domain,adversary,any_contact_mean,0.3635
PCP,identity,1100,collection_domain,adversary,simultaneous_contact_mean,0.0956666666666666
PCP,identity,1100,collection_domain,adversary,contacting_predators_mean,0.4606666666666666
PCP,identity,1100,collection_domain,adversary,nearest_predator_prey_distance_mean,0.2435952675230801
PCP,identity,1100,collection_domain,adversary,mean_predator_nearest_prey_distance_mean,0.6442911293891569
PCP,identity,1100,collection_domain,adversary,predator_boundary_fraction_mean,0.3966666744748751
PCP,identity,1100,collection_domain,adversary,prey_boundary_fraction_mean,0.375
PCP,identity,1100,collection_domain,adversary,predator_obstacle_collision_pairs_mean,0.1051666666666666
PCP,identity,1100,collection_domain,adversary,predator_teammate_collision_pairs_mean,0.2005
PCP,identity,1100,collection_domain,adversary,sender_visible_receiver_blind_pairs_mean,1.0653333333333332
PCP,identity,1100,collection_domain,adversary,sender_visible_receiver_blind_prey_triples_mean,1.0653333333333332
PCP,identity,1100,collection_domain,adversary,prey_visible_to_0_predators_mean,0.0648333333333333
PCP,identity,1100,collection_domain,adversary,prey_visible_to_1_predators_mean,0.184
PCP,identity,1100,collection_domain,adversary,prey_visible_to_2_predators_mean,0.3486666666666667
PCP,identity,1100,collection_domain,adversary,prey_visible_to_3_predators_mean,0.4025
PCP,identity,1100,collection_domain,adversary,predator_reward_mean,4.6066666666666665
PCP,identity,1100,collection_domain,adversary,transition_count,6000.0
PCP,identity,1100,collection_domain,adversary,reward_accounting_max_abs_error,0.0
PCP,identity,1100,training,adversary,loss_objective,-13.337396621704102
PCP,identity,1100,training,adversary,clip_fraction,0.0279111098498106
PCP,identity,1100,training,adversary,kl_approx,0.0023929325398057
PCP,identity,1100,training,adversary,entropy,-0.4881086349487304
