method,seed,mapdn/action_solver_failure,mapdn/advance_solver_failure,mapdn/average_voltage,mapdn/average_voltage_deviation,mapdn/bus_transition_count,mapdn/destroy,mapdn/feasible_step,mapdn/max_voltage_drop_deviation,mapdn/max_voltage_rise_deviation,mapdn/percentage_of_higher_than_upper_v,mapdn/percentage_of_lower_than_lower_v,mapdn/percentage_of_v_out_of_control,mapdn/pv_curtailed_mw,mapdn/q_loss,mapdn/reward,mapdn/solver_failure_count,mapdn/total_line_loss,mapdn/totally_controllable_ratio,mapdn/transitions,mapdn/violated_bus_transition_count,mapdn/voltage_bus_count,mapdn/voltage_metrics_valid,mapdn/voltage_observed_transitions,mapdn/voltage_violating_bus_count,mapdn/voltage_violation_magnitude
attention,1100,0.0,0.0,0.9966480731964112,0.0138831082731485,126192.0,0.0,1.0,0.0002315861929673,0.0040567219257354,0.0190344881266355,0.005523330066353,0.0245578177273273,0.0,0.2989023625850677,-0.0437733493745327,0.0,0.1170395836234092,0.8093619346618652,3824.0,3099.0,33.0,1.0,3824.0,0.8104079365730286,0.0004808253434021
attention,1101,0.0,0.0,0.9903095364570618,0.016877269372344,126192.0,0.0,1.0,4.208814789308235e-05,0.0050110113807022,0.022529162466526,0.0018622418865561,0.0243914052844047,0.0,0.1736631542444229,-0.0342435836791992,0.0,0.06751599162817,0.8726464509963989,3824.0,3078.0,33.0,1.0,3824.0,0.8049163222312927,0.0007579553639516
attention,1102,0.0,0.0,0.9869558811187744,0.0142183201387524,126192.0,0.0,1.0,0.0004450721899047,0.0001733909302856,0.0012837580870836,0.010381007567048,0.0116647649556398,0.0,0.1874918788671493,-0.0329675041139125,0.0,0.0629185587167739,0.8891213536262512,3824.0,1472.0,33.0,1.0,3824.0,0.3849372267723083,5.480579420691356e-05
broadcast,1100,0.0,0.0,0.9958153963088988,0.0138497911393642,126192.0,0.0,1.0,0.0001948296994669,0.0044819554314017,0.0198031589388847,0.0050557879731059,0.024858945980668,0.0,0.3116002082824707,-0.0450098142027854,0.0,0.1128632947802543,0.8156380653381348,3824.0,3137.0,33.0,1.0,3824.0,0.8203451633453369,0.0005552766378968
broadcast,1101,0.0,0.0,0.9883270859718324,0.0182222835719585,126192.0,0.0,1.0,7.315405673580244e-05,0.0041739013977348,0.019826928153634,0.0030905287712812,0.0229174606502056,0.0,0.1515129059553146,-0.0333735756576061,0.0,0.0657628178596496,0.8710774183273315,3824.0,2892.0,33.0,1.0,3824.0,0.7562761306762695,0.0006149650434963
broadcast,1102,0.0,0.0,0.982906699180603,0.0188124421983957,126192.0,0.0,1.0,7.917805487522855e-05,0.000609032344073,0.0041920249350368,0.0044059841893613,0.0085980091243982,0.0,0.107698880136013,-0.0295823290944099,0.0,0.0400015823543071,0.93148535490036,3824.0,1085.0,33.0,1.0,3824.0,0.2837343215942383,6.691728049190715e-05
gated,1100,0.0,0.0,0.9959174394607544,0.0136947771534323,126192.0,0.0,1.0,0.0002208304649684,0.0036890537012368,0.0180835556238889,0.0054123876616358,0.0234959442168474,0.0,0.3033545017242431,-0.0440302267670631,0.0,0.1129514127969741,0.8172070980072021,3824.0,2965.0,33.0,1.0,3824.0,0.7753661274909973,0.0004183545242995
gated,1101,0.0,0.0,0.9883005023002625,0.0180360283702611,126192.0,0.0,1.0,9.486529597779736e-05,0.004159016534686,0.0195020288228988,0.0040493849664926,0.0235514119267463,0.0,0.1601201295852661,-0.0340480394661426,0.0,0.0690292790532112,0.8650627732276917,3824.0,2972.0,33.0,1.0,3824.0,0.7771966457366943,0.0006175660528242
gated,1102,0.0,0.0,0.9802547693252563,0.0215443279594182,126192.0,0.0,1.0,0.0030583657789975,0.0007848304230719,0.0049052238464355,0.0450187027454376,0.0499239228665828,0.0,0.144918605685234,-0.0360361896455287,0.0,0.0657954439520835,0.5907427072525024,3824.0,6300.0,33.0,1.0,3824.0,1.6474895477294922,0.0003944150521419
graph,1100,0.0,0.0,0.9948334693908693,0.012960479594767,126192.0,0.0,1.0,0.0001197005622088,0.0031659654341638,0.0150722712278366,0.0039859898388385,0.01905825920403,0.0,0.2743931114673614,-0.0403997972607612,0.0,0.0942532867193222,0.8546025156974792,3824.0,2405.0,33.0,1.0,3824.0,0.6289225816726685,0.0003755114157684
