phase,,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,training,training,training,training,training,training,training,training,training,training,training,training,training,training
metric,,action_saturated_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,loc_max,loc_min,scale_mean,clip_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,entropy,explained_variance,grad_norm_loss_critic,grad_norm_loss_objective,kl_approx,loss_critic
method,seed,,,,,,,,,,,,,,,,,,,,,,,,,
attention,1100,0.0,1.0,1.3953702849448977,1.402140007753086,4.125517583292399,7.123942248180321,12288.0,61440.0,0.7369487881660461,-0.2775858938694,0.0431804023683071,0.14794921875,1.0,1.4089076519012451,1.3752803802490234,66.83277893066406,6.858535289764404,12288.0,61440.0,-2.8402962684631348,0.8973844647407532,0.2195601910352707,4.170807838439941,0.0170709490776062,0.004314714577049
attention,1101,0.0,1.0,1.1316990837392449,0.7305837184647969,3.2376467304997862,4.908892232628547,12288.0,61440.0,0.6956475377082825,-0.1789124310016632,0.2732001543045044,0.1735026240348816,1.0,1.0511622428894043,0.7050240635871887,48.45781707763672,5.154969692230225,12288.0,61440.0,-2.1325511932373047,0.9640933871269226,0.2288029789924621,2.4806177616119385,0.0165351014584302,0.0029744603671133
attention,1102,0.0,1.0,1.2219963497696562,0.7474637273049587,3.553656248243284,4.928475671981668,12288.0,61440.0,0.4053575694561004,-0.5002807974815369,0.8179768323898315,0.1638997495174408,1.0,1.3053628206253052,0.9105606079101562,60.82293701171875,5.035882949829102,12288.0,61440.0,-2.1335325241088867,0.7846446633338928,0.2249948531389236,1.9943509101867676,0.0238087326288223,0.0038883634842932
broadcast,1100,0.0,1.0,,1.1367009862103972,,2.8667440905730595,6144.0,30720.0,0.8702871799468994,-0.2811821401119232,0.047596950083971,0.0462239570915699,1.0,,1.0647892951965332,,2.7525124549865723,6144.0,30720.0,-2.4693374633789062,0.9261853098869324,0.2151772230863571,1.8030765056610107,0.0035043940879404,0.0049817385151982
broadcast,1101,0.0,1.0,,0.6514155260018349,,2.2791997648495013,6144.0,30720.0,0.8141821026802063,-0.2242457270622253,0.1598433256149292,0.1048177033662796,1.0,,0.6353564858436584,,2.3127033710479736,6144.0,30720.0,-2.182708263397217,0.9690582156181335,0.2245711833238601,1.369481921195984,0.0090984962880611,0.0026094119530171
broadcast,1102,0.0,1.0,,0.95037820172526,,2.512306849670958,6144.0,30720.0,0.9864006042480468,-0.2000501751899719,0.0735077634453773,0.1652018278837204,1.0,,0.9387046694755554,,2.5047295093536377,6144.0,30720.0,-2.496018886566162,0.5953826308250427,0.1440247148275375,2.3804826736450195,0.0249516908079385,0.0024914387613534
gated,1100,0.0,1.0,,1.1822992461308774,,2.8409503853907148,6144.0,30720.0,0.717219889163971,-0.2241458892822265,0.0407624766230583,0.0543619804084301,1.0,,1.128568172454834,,2.688180685043335,6144.0,30720.0,-2.7202770709991455,0.9333210587501526,0.1943758428096771,1.6500639915466309,0.0046543516218662,0.0039835376664996
gated,1101,0.0,1.0,,0.5667974283786249,,1.982921538430278,6144.0,30720.0,0.6918226480484009,-0.1879969537258148,0.3514540791511535,0.1194661483168602,1.0,,0.5747008919715881,,2.0250651836395264,6144.0,30720.0,-1.9257971048355105,0.9649626612663268,0.2135073244571685,1.5433058738708496,0.0090784169733524,0.0033076081890612
gated,1102,0.0,1.0,,0.948374812048308,,2.5427384969454927,6144.0,30720.0,0.2584525644779205,-1.3957834243774414,0.0754233375191688,0.0774739533662796,1.0,,0.945479691028595,,2.531615734100342,6144.0,30720.0,-2.561117887496948,0.8667411804199219,0.1200308129191398,0.857576310634613,0.0065231323242187,0.0016483005601912
