task,method,n,mean,sd,median,min,max,mean_ci95_low,mean_ci95_high,late5_mean,curve_time_average,seeds_above_100
MAPDN,attention,3,-8.841760526100794,1.411284090339412,-8.184217602014542,-10.461830079555511,-7.87923389673233,-12.347584556906186,-5.335936495295401,-8.931012378136318,-9.67651040565322,
MAPDN,broadcast,3,-8.601268927256266,1.9213943357096572,-7.976284831762314,-10.757345080375671,-7.070176869630814,-13.374277055736098,-3.8282607987764328,-8.544036676486334,-9.520020116740245,
MAPDN,gated,3,-9.091118266185125,1.2627910442459116,-8.612649291753769,-10.523223996162416,-8.13748151063919,-12.228065121256975,-5.954171411113276,-9.07554752031962,-9.753942312598618,
MAPDN,graph,3,-8.75817260146141,1.1756920715063635,-9.19168871641159,-9.655550837516785,-7.427278250455856,-11.678753613696234,-5.837591589226587,-8.861784728368123,-9.732723533465672,
MAPDN,identity,3,-8.538675139347712,2.0106829436308944,-7.774299591779709,-10.81945276260376,-7.022273063659668,-13.53348846599438,-3.543861812701044,-8.62973916331927,-9.458294063184438,
PCP,attention,5,163.28125,221.475191332972,4.21875,2.421875,450.3125,-111.7165215734417,438.2790215734417,173.021875,52.96133207070708,2.0
PCP,broadcast,5,359.75,344.23147389102513,414.765625,4.296875,784.921875,-67.66982817910491,787.1698281791049,355.4375,138.23358585858585,3.0
PCP,gated,5,177.734375,221.81749915118849,32.03125,7.890625,447.5,-97.68842786762474,453.15717786762474,174.08125,57.90735479797979,2.0
PCP,graph,5,183.515625,236.8643516220538,23.75,3.671875,469.765625,-110.59031286698155,477.62156286698155,183.365625,77.19767992424242,2.0
PCP,identity,5,184.265625,241.67560317079742,13.4375,7.34375,500.0,-115.81427070135862,484.3455207013586,188.821875,54.116714015151516,2.0
