task,method,seed,metric,value
PCP,identity,1100,parameters_actor_total,19488.0
PCP,identity,1100,parameters_actor_trainable,19488.0
PCP,identity,1100,parameters_communication_total,0.0
PCP,identity,1100,parameters_communication_trainable,0.0
PCP,identity,1100,parameters_critic_total,19778.0
PCP,identity,1100,parameters_critic_trainable,19778.0
PCP,identity,1100,parameters_group/adversary/actor_total,19332.0
PCP,identity,1100,parameters_group/adversary/actor_trainable,19332.0
PCP,identity,1100,parameters_group/adversary/communication_total,0.0
PCP,identity,1100,parameters_group/adversary/communication_trainable,0.0
PCP,identity,1100,parameters_group/adversary/critic_total,19585.0
PCP,identity,1100,parameters_group/adversary/critic_trainable,19585.0
PCP,identity,1100,parameters_group/agent/actor_total,156.0
PCP,identity,1100,parameters_group/agent/actor_trainable,156.0
PCP,identity,1100,parameters_group/agent/communication_total,0.0
PCP,identity,1100,parameters_group/agent/communication_trainable,0.0
PCP,identity,1100,parameters_group/agent/critic_total,193.0
PCP,identity,1100,parameters_group/agent/critic_trainable,193.0
PCP,identity,1101,parameters_actor_total,19488.0
PCP,identity,1101,parameters_actor_trainable,19488.0
PCP,identity,1101,parameters_communication_total,0.0
PCP,identity,1101,parameters_communication_trainable,0.0
PCP,identity,1101,parameters_critic_total,19778.0
PCP,identity,1101,parameters_critic_trainable,19778.0
PCP,identity,1101,parameters_group/adversary/actor_total,19332.0
PCP,identity,1101,parameters_group/adversary/actor_trainable,19332.0
PCP,identity,1101,parameters_group/adversary/communication_total,0.0
PCP,identity,1101,parameters_group/adversary/communication_trainable,0.0
PCP,identity,1101,parameters_group/adversary/critic_total,19585.0
PCP,identity,1101,parameters_group/adversary/critic_trainable,19585.0
PCP,identity,1101,parameters_group/agent/actor_total,156.0
PCP,identity,1101,parameters_group/agent/actor_trainable,156.0
PCP,identity,1101,parameters_group/agent/communication_total,0.0
PCP,identity,1101,parameters_group/agent/communication_trainable,0.0
PCP,identity,1101,parameters_group/agent/critic_total,193.0
PCP,identity,1101,parameters_group/agent/critic_trainable,193.0
PCP,identity,1102,parameters_actor_total,19488.0
PCP,identity,1102,parameters_actor_trainable,19488.0
PCP,identity,1102,parameters_communication_total,0.0
PCP,identity,1102,parameters_communication_trainable,0.0
PCP,identity,1102,parameters_critic_total,19778.0
PCP,identity,1102,parameters_critic_trainable,19778.0
PCP,identity,1102,parameters_group/adversary/actor_total,19332.0
PCP,identity,1102,parameters_group/adversary/actor_trainable,19332.0
PCP,identity,1102,parameters_group/adversary/communication_total,0.0
PCP,identity,1102,parameters_group/adversary/communication_trainable,0.0
PCP,identity,1102,parameters_group/adversary/critic_total,19585.0
PCP,identity,1102,parameters_group/adversary/critic_trainable,19585.0
PCP,identity,1102,parameters_group/agent/actor_total,156.0
PCP,identity,1102,parameters_group/agent/actor_trainable,156.0
PCP,identity,1102,parameters_group/agent/communication_total,0.0
PCP,identity,1102,parameters_group/agent/communication_trainable,0.0
PCP,identity,1102,parameters_group/agent/critic_total,193.0
PCP,identity,1102,parameters_group/agent/critic_trainable,193.0
PCP,identity,1103,parameters_actor_total,19488.0
PCP,identity,1103,parameters_actor_trainable,19488.0
PCP,identity,1103,parameters_communication_total,0.0
PCP,identity,1103,parameters_communication_trainable,0.0
PCP,identity,1103,parameters_critic_total,19778.0
PCP,identity,1103,parameters_critic_trainable,19778.0
PCP,identity,1103,parameters_group/adversary/actor_total,19332.0
PCP,identity,1103,parameters_group/adversary/actor_trainable,19332.0
PCP,identity,1103,parameters_group/adversary/communication_total,0.0
PCP,identity,1103,parameters_group/adversary/communication_trainable,0.0
PCP,identity,1103,parameters_group/adversary/critic_total,19585.0
PCP,identity,1103,parameters_group/adversary/critic_trainable,19585.0
PCP,identity,1103,parameters_group/agent/actor_total,156.0
PCP,identity,1103,parameters_group/agent/actor_trainable,156.0
PCP,identity,1103,parameters_group/agent/communication_total,0.0
PCP,identity,1103,parameters_group/agent/communication_trainable,0.0
PCP,identity,1103,parameters_group/agent/critic_total,193.0
PCP,identity,1103,parameters_group/agent/critic_trainable,193.0
PCP,identity,1104,parameters_actor_total,19488.0
PCP,identity,1104,parameters_actor_trainable,19488.0
PCP,identity,1104,parameters_communication_total,0.0
PCP,identity,1104,parameters_communication_trainable,0.0
PCP,identity,1104,parameters_critic_total,19778.0
PCP,identity,1104,parameters_critic_trainable,19778.0
PCP,identity,1104,parameters_group/adversary/actor_total,19332.0
PCP,identity,1104,parameters_group/adversary/actor_trainable,19332.0
PCP,identity,1104,parameters_group/adversary/communication_total,0.0
PCP,identity,1104,parameters_group/adversary/communication_trainable,0.0
PCP,identity,1104,parameters_group/adversary/critic_total,19585.0
PCP,identity,1104,parameters_group/adversary/critic_trainable,19585.0
PCP,identity,1104,parameters_group/agent/actor_total,156.0
PCP,identity,1104,parameters_group/agent/actor_trainable,156.0
PCP,identity,1104,parameters_group/agent/communication_total,0.0
PCP,identity,1104,parameters_group/agent/communication_trainable,0.0
PCP,identity,1104,parameters_group/agent/critic_total,193.0
PCP,identity,1104,parameters_group/agent/critic_trainable,193.0
PCP,broadcast,1100,parameters_actor_total,27680.0
PCP,broadcast,1100,parameters_actor_trainable,27680.0
PCP,broadcast,1100,parameters_communication_total,8192.0
PCP,broadcast,1100,parameters_communication_trainable,8192.0
PCP,broadcast,1100,parameters_critic_total,19778.0
PCP,broadcast,1100,parameters_critic_trainable,19778.0
PCP,broadcast,1100,parameters_group/adversary/actor_total,27524.0
PCP,broadcast,1100,parameters_group/adversary/actor_trainable,27524.0
PCP,broadcast,1100,parameters_group/adversary/communication_total,8192.0
PCP,broadcast,1100,parameters_group/adversary/communication_trainable,8192.0
PCP,broadcast,1100,parameters_group/adversary/critic_total,19585.0
PCP,broadcast,1100,parameters_group/adversary/critic_trainable,19585.0
PCP,broadcast,1100,parameters_group/agent/actor_total,156.0
PCP,broadcast,1100,parameters_group/agent/actor_trainable,156.0
PCP,broadcast,1100,parameters_group/agent/communication_total,0.0
PCP,broadcast,1100,parameters_group/agent/communication_trainable,0.0
PCP,broadcast,1100,parameters_group/agent/critic_total,193.0
PCP,broadcast,1100,parameters_group/agent/critic_trainable,193.0
PCP,broadcast,1101,parameters_actor_total,27680.0
PCP,broadcast,1101,parameters_actor_trainable,27680.0
PCP,broadcast,1101,parameters_communication_total,8192.0
PCP,broadcast,1101,parameters_communication_trainable,8192.0
PCP,broadcast,1101,parameters_critic_total,19778.0
PCP,broadcast,1101,parameters_critic_trainable,19778.0
PCP,broadcast,1101,parameters_group/adversary/actor_total,27524.0
PCP,broadcast,1101,parameters_group/adversary/actor_trainable,27524.0
PCP,broadcast,1101,parameters_group/adversary/communication_total,8192.0
PCP,broadcast,1101,parameters_group/adversary/communication_trainable,8192.0
PCP,broadcast,1101,parameters_group/adversary/critic_total,19585.0
PCP,broadcast,1101,parameters_group/adversary/critic_trainable,19585.0
PCP,broadcast,1101,parameters_group/agent/actor_total,156.0
PCP,broadcast,1101,parameters_group/agent/actor_trainable,156.0
PCP,broadcast,1101,parameters_group/agent/communication_total,0.0
PCP,broadcast,1101,parameters_group/agent/communication_trainable,0.0
PCP,broadcast,1101,parameters_group/agent/critic_total,193.0
PCP,broadcast,1101,parameters_group/agent/critic_trainable,193.0
PCP,broadcast,1102,parameters_actor_total,27680.0
PCP,broadcast,1102,parameters_actor_trainable,27680.0
PCP,broadcast,1102,parameters_communication_total,8192.0
PCP,broadcast,1102,parameters_communication_trainable,8192.0
PCP,broadcast,1102,parameters_critic_total,19778.0
PCP,broadcast,1102,parameters_critic_trainable,19778.0
PCP,broadcast,1102,parameters_group/adversary/actor_total,27524.0
PCP,broadcast,1102,parameters_group/adversary/actor_trainable,27524.0
PCP,broadcast,1102,parameters_group/adversary/communication_total,8192.0
PCP,broadcast,1102,parameters_group/adversary/communication_trainable,8192.0
PCP,broadcast,1102,parameters_group/adversary/critic_total,19585.0
PCP,broadcast,1102,parameters_group/adversary/critic_trainable,19585.0
PCP,broadcast,1102,parameters_group/agent/actor_total,156.0
PCP,broadcast,1102,parameters_group/agent/actor_trainable,156.0
PCP,broadcast,1102,parameters_group/agent/communication_total,0.0
PCP,broadcast,1102,parameters_group/agent/communication_trainable,0.0
PCP,broadcast,1102,parameters_group/agent/critic_total,193.0
PCP,broadcast,1102,parameters_group/agent/critic_trainable,193.0
PCP,broadcast,1103,parameters_actor_total,27680.0
PCP,broadcast,1103,parameters_actor_trainable,27680.0
PCP,broadcast,1103,parameters_communication_total,8192.0
PCP,broadcast,1103,parameters_communication_trainable,8192.0
PCP,broadcast,1103,parameters_critic_total,19778.0
PCP,broadcast,1103,parameters_critic_trainable,19778.0
PCP,broadcast,1103,parameters_group/adversary/actor_total,27524.0
PCP,broadcast,1103,parameters_group/adversary/actor_trainable,27524.0
PCP,broadcast,1103,parameters_group/adversary/communication_total,8192.0
PCP,broadcast,1103,parameters_group/adversary/communication_trainable,8192.0
PCP,broadcast,1103,parameters_group/adversary/critic_total,19585.0
PCP,broadcast,1103,parameters_group/adversary/critic_trainable,19585.0
PCP,broadcast,1103,parameters_group/agent/actor_total,156.0
PCP,broadcast,1103,parameters_group/agent/actor_trainable,156.0
PCP,broadcast,1103,parameters_group/agent/communication_total,0.0
PCP,broadcast,1103,parameters_group/agent/communication_trainable,0.0
PCP,broadcast,1103,parameters_group/agent/critic_total,193.0
PCP,broadcast,1103,parameters_group/agent/critic_trainable,193.0
PCP,broadcast,1104,parameters_actor_total,27680.0
PCP,broadcast,1104,parameters_actor_trainable,27680.0
PCP,broadcast,1104,parameters_communication_total,8192.0
PCP,broadcast,1104,parameters_communication_trainable,8192.0
PCP,broadcast,1104,parameters_critic_total,19778.0
PCP,broadcast,1104,parameters_critic_trainable,19778.0
PCP,broadcast,1104,parameters_group/adversary/actor_total,27524.0
PCP,broadcast,1104,parameters_group/adversary/actor_trainable,27524.0
PCP,broadcast,1104,parameters_group/adversary/communication_total,8192.0
PCP,broadcast,1104,parameters_group/adversary/communication_trainable,8192.0
PCP,broadcast,1104,parameters_group/adversary/critic_total,19585.0
PCP,broadcast,1104,parameters_group/adversary/critic_trainable,19585.0
PCP,broadcast,1104,parameters_group/agent/actor_total,156.0
PCP,broadcast,1104,parameters_group/agent/actor_trainable,156.0
PCP,broadcast,1104,parameters_group/agent/communication_total,0.0
PCP,broadcast,1104,parameters_group/agent/communication_trainable,0.0
PCP,broadcast,1104,parameters_group/agent/critic_total,193.0
PCP,broadcast,1104,parameters_group/agent/critic_trainable,193.0
PCP,gated,1100,parameters_actor_total,27809.0
PCP,gated,1100,parameters_actor_trainable,27809.0
PCP,gated,1100,parameters_communication_total,8321.0
PCP,gated,1100,parameters_communication_trainable,8321.0
PCP,gated,1100,parameters_critic_total,19778.0
PCP,gated,1100,parameters_critic_trainable,19778.0
PCP,gated,1100,parameters_group/adversary/actor_total,27653.0
PCP,gated,1100,parameters_group/adversary/actor_trainable,27653.0
PCP,gated,1100,parameters_group/adversary/communication_total,8321.0
PCP,gated,1100,parameters_group/adversary/communication_trainable,8321.0
PCP,gated,1100,parameters_group/adversary/critic_total,19585.0
PCP,gated,1100,parameters_group/adversary/critic_trainable,19585.0
PCP,gated,1100,parameters_group/agent/actor_total,156.0
PCP,gated,1100,parameters_group/agent/actor_trainable,156.0
PCP,gated,1100,parameters_group/agent/communication_total,0.0
PCP,gated,1100,parameters_group/agent/communication_trainable,0.0
PCP,gated,1100,parameters_group/agent/critic_total,193.0
PCP,gated,1100,parameters_group/agent/critic_trainable,193.0
PCP,gated,1101,parameters_actor_total,27809.0
PCP,gated,1101,parameters_actor_trainable,27809.0
PCP,gated,1101,parameters_communication_total,8321.0
PCP,gated,1101,parameters_communication_trainable,8321.0
PCP,gated,1101,parameters_critic_total,19778.0
PCP,gated,1101,parameters_critic_trainable,19778.0
PCP,gated,1101,parameters_group/adversary/actor_total,27653.0
PCP,gated,1101,parameters_group/adversary/actor_trainable,27653.0
PCP,gated,1101,parameters_group/adversary/communication_total,8321.0
PCP,gated,1101,parameters_group/adversary/communication_trainable,8321.0
PCP,gated,1101,parameters_group/adversary/critic_total,19585.0
PCP,gated,1101,parameters_group/adversary/critic_trainable,19585.0
PCP,gated,1101,parameters_group/agent/actor_total,156.0
PCP,gated,1101,parameters_group/agent/actor_trainable,156.0
PCP,gated,1101,parameters_group/agent/communication_total,0.0
PCP,gated,1101,parameters_group/agent/communication_trainable,0.0
PCP,gated,1101,parameters_group/agent/critic_total,193.0
PCP,gated,1101,parameters_group/agent/critic_trainable,193.0
PCP,gated,1102,parameters_actor_total,27809.0
PCP,gated,1102,parameters_actor_trainable,27809.0
PCP,gated,1102,parameters_communication_total,8321.0
PCP,gated,1102,parameters_communication_trainable,8321.0
PCP,gated,1102,parameters_critic_total,19778.0
PCP,gated,1102,parameters_critic_trainable,19778.0
PCP,gated,1102,parameters_group/adversary/actor_total,27653.0
PCP,gated,1102,parameters_group/adversary/actor_trainable,27653.0
PCP,gated,1102,parameters_group/adversary/communication_total,8321.0
PCP,gated,1102,parameters_group/adversary/communication_trainable,8321.0
PCP,gated,1102,parameters_group/adversary/critic_total,19585.0
PCP,gated,1102,parameters_group/adversary/critic_trainable,19585.0
PCP,gated,1102,parameters_group/agent/actor_total,156.0
PCP,gated,1102,parameters_group/agent/actor_trainable,156.0
PCP,gated,1102,parameters_group/agent/communication_total,0.0
PCP,gated,1102,parameters_group/agent/communication_trainable,0.0
PCP,gated,1102,parameters_group/agent/critic_total,193.0
PCP,gated,1102,parameters_group/agent/critic_trainable,193.0
PCP,gated,1103,parameters_actor_total,27809.0
PCP,gated,1103,parameters_actor_trainable,27809.0
PCP,gated,1103,parameters_communication_total,8321.0
PCP,gated,1103,parameters_communication_trainable,8321.0
PCP,gated,1103,parameters_critic_total,19778.0
PCP,gated,1103,parameters_critic_trainable,19778.0
PCP,gated,1103,parameters_group/adversary/actor_total,27653.0
PCP,gated,1103,parameters_group/adversary/actor_trainable,27653.0
PCP,gated,1103,parameters_group/adversary/communication_total,8321.0
PCP,gated,1103,parameters_group/adversary/communication_trainable,8321.0
PCP,gated,1103,parameters_group/adversary/critic_total,19585.0
PCP,gated,1103,parameters_group/adversary/critic_trainable,19585.0
PCP,gated,1103,parameters_group/agent/actor_total,156.0
PCP,gated,1103,parameters_group/agent/actor_trainable,156.0
PCP,gated,1103,parameters_group/agent/communication_total,0.0
PCP,gated,1103,parameters_group/agent/communication_trainable,0.0
PCP,gated,1103,parameters_group/agent/critic_total,193.0
PCP,gated,1103,parameters_group/agent/critic_trainable,193.0
PCP,gated,1104,parameters_actor_total,27809.0
PCP,gated,1104,parameters_actor_trainable,27809.0
PCP,gated,1104,parameters_communication_total,8321.0
PCP,gated,1104,parameters_communication_trainable,8321.0
PCP,gated,1104,parameters_critic_total,19778.0
PCP,gated,1104,parameters_critic_trainable,19778.0
PCP,gated,1104,parameters_group/adversary/actor_total,27653.0
PCP,gated,1104,parameters_group/adversary/actor_trainable,27653.0
PCP,gated,1104,parameters_group/adversary/communication_total,8321.0
PCP,gated,1104,parameters_group/adversary/communication_trainable,8321.0
PCP,gated,1104,parameters_group/adversary/critic_total,19585.0
PCP,gated,1104,parameters_group/adversary/critic_trainable,19585.0
