method,seed,mean,std,count,within_seed_episode_sem
attention,1100,2.421875,6.610191814673132,128,0.5842639321373977
attention,1101,3.515625,10.982437214268712,128,0.9707194785206128
attention,1102,450.3125,328.805850619442,128,29.0626058333523
attention,1103,355.9375,293.47882859696324,128,25.940108729449644
attention,1104,4.21875,14.720994435341465,128,1.3011643738799226
broadcast,1100,414.765625,347.76896313851955,128,30.738724015182704
broadcast,1101,18.046875,105.96432763111821,128,9.366011828979591
broadcast,1102,4.296875,11.884191428343447,128,1.0504240434875867
broadcast,1103,576.71875,414.19518654742376,128,36.610028142813796
broadcast,1104,784.921875,543.1883072706111,128,48.011516941536385
gated,1100,447.5,311.3622595834528,128,27.520795644628194
gated,1101,7.890625,23.897825280757374,128,2.112289288954356
gated,1102,32.03125,180.1895737281016,128,15.926658685281751
gated,1103,391.5625,360.2217984721193,128,31.839409553856182
gated,1104,9.6875,25.838307031154745,128,2.2838052645136964
graph,1100,6.25,27.5509549400785,128,2.4351833832868146
graph,1101,414.140625,310.23112375717204,128,27.420816417977424
graph,1102,23.75,56.34539155606517,128,4.980276057238114
graph,1103,469.765625,391.90723802770464,128,34.64003320068504
graph,1104,3.671875,10.63874169266035,128,0.9403407992715227
identity,1100,500.0,346.6828181175882,128,30.642721451476138
identity,1101,13.4375,38.6471520581365,128,3.415957911731994
identity,1102,391.25,239.50079315371764,128,21.169079367318798
identity,1103,7.34375,21.054274632837878,128,1.8609525457304463
identity,1104,9.296875,20.164035722398758,128,1.7822657994244933
