method,seed,return,any_contact,contact_by_50,contact_duration_steps,contact_pair_steps,first_contact_step_or_horizon,simultaneous_contact_steps,any_simultaneous_contact,sender_visible_receiver_blind_pairs_mean,prey_visible_to_0_predators_mean,prey_visible_to_1_predators_mean,prey_visible_to_2_predators_mean,prey_visible_to_3_predators_mean,predator_boundary_fraction,prey_boundary_fraction,reward_accounting_max_abs_error
attention,1100,2.421875,0.1640625,0.1640625,0.2421875,0.2421875,85.4453125,0.0,0.0,0.73609375,0.410703125,0.20515625,0.162890625,0.22125,0.6268229247466661,0.01875,0.0
attention,1101,3.515625,0.15625,0.140625,0.3515625,0.3515625,87.15625,0.0,0.0,0.9871875,0.292265625,0.254921875,0.238671875,0.214140625,0.6019010486034676,0.023984375,0.0
attention,1102,450.3125,0.9296875,0.8984375,36.40625,45.03125,22.109375,8.234375,0.6171875,1.17234375,0.074765625,0.290390625,0.29578125,0.3390625,0.31328125699656084,0.418671875,0.0
attention,1103,355.9375,0.9375,0.921875,29.5,35.59375,19.296875,6.0625,0.6875,1.04234375,0.063984375,0.21765625,0.303515625,0.41484375,0.3386458402918651,0.340703125,0.0
attention,1104,4.21875,0.1796875,0.171875,0.421875,0.421875,85.5546875,0.0,0.0,0.976875,0.325078125,0.252890625,0.235546875,0.186484375,0.5220833408134058,0.030703125,0.0
broadcast,1100,414.765625,0.9140625,0.9140625,33.2578125,41.4765625,20.1328125,8.09375,0.6484375,0.88421875,0.095625,0.197890625,0.24421875,0.462265625,0.3425000069127418,0.297890625,0.0
broadcast,1101,18.046875,0.2578125,0.25,1.328125,1.8046875,79.1796875,0.4765625,0.03125,0.71265625,0.3815625,0.1640625,0.192265625,0.262109375,0.5824739636760204,0.048828125,0.0
broadcast,1102,4.296875,0.1796875,0.15625,0.4296875,0.4296875,86.0390625,0.0,0.0,0.908125,0.4071875,0.22718750000000001,0.226875,0.13875,0.6356250068498775,0.031875,0.0
broadcast,1103,576.71875,0.9140625,0.9140625,42.453125,57.671875,20.03125,14.21875,0.71875,0.945,0.09148437499999999,0.201015625,0.271484375,0.436015625,0.4179427160625346,0.409765625,0.0
broadcast,1104,784.921875,0.8359375,0.7890625,47.59375,78.4921875,32.3359375,25.421875,0.7578125,0.251875,0.161796875,0.07140625,0.05453125,0.712265625,0.5101041740528308,0.569921875,0.0
gated,1100,447.5,0.96875,0.9296875,35.3046875,44.75,18.3359375,9.21875,0.8046875,0.9803125,0.06109375,0.196328125,0.293828125,0.44875,0.3317187568405643,0.3546875,0.0
gated,1101,7.890625,0.2109375,0.1953125,0.7578125,0.7890625,82.75,0.03125,0.0234375,1.165625,0.1934375,0.306640625,0.276171875,0.22375,0.4788802163302898,0.033125,0.0
gated,1102,32.03125,0.3046875,0.3046875,2.1796875,3.203125,74.5078125,1.0234375,0.0390625,1.028125,0.302265625,0.22046875,0.29359375,0.18367187499999998,0.6154947979771532,0.050390625,0.0
gated,1103,391.5625,0.921875,0.9140625,31.046875,39.15625,20.9453125,8.0078125,0.6328125,0.995,0.0884375,0.2284375,0.2690625,0.4140625,0.3672395898611285,0.33046875,0.0
gated,1104,9.6875,0.2734375,0.265625,0.96875,0.96875,78.40625,0.0,0.0,0.80328125,0.401640625,0.19890625,0.202734375,0.19671875,0.5717968822224065,0.042578125,0.0
graph,1100,6.25,0.21875,0.21875,0.609375,0.625,81.546875,0.015625,0.0078125,1.1490625,0.14625,0.24703125,0.3275,0.27921875,0.467708341400139,0.033671875,0.0
graph,1101,414.140625,0.90625,0.890625,33.515625,41.4140625,21.0,7.578125,0.6953125,0.87875,0.099140625,0.19859375,0.24078125,0.461484375,0.31692708930466323,0.36046875,0.0
graph,1102,23.75,0.4921875,0.4609375,2.3046875,2.375,60.4921875,0.0703125,0.0390625,0.76,0.2209375,0.172734375,0.207265625,0.3990625,0.5357552170613781,0.051171875,0.0
graph,1103,469.765625,0.921875,0.8984375,35.84375,46.9765625,20.6796875,10.71875,0.7265625,0.81265625,0.0925,0.18953125,0.216796875,0.501171875,0.36502604808192696,0.353984375,0.0
graph,1104,3.671875,0.1640625,0.1484375,0.3671875,0.3671875,86.78125,0.0,0.0,1.08546875,0.26921875,0.28875,0.253984375,0.188046875,0.5828385495697148,0.03390625,0.0
identity,1100,500.0,0.9296875,0.921875,38.6953125,50.0,18.9921875,10.109375,0.734375,0.9478125000000001,0.082421875,0.209765625,0.264140625,0.443671875,0.3674739656038582,0.3296875,0.0
identity,1101,13.4375,0.3046875,0.296875,1.2890625,1.34375,74.5390625,0.046875,0.0234375,1.0853125,0.113125,0.20109375,0.3415625,0.34421875,0.28591146504273635,0.039375,0.0
identity,1102,391.25,0.921875,0.921875,33.2421875,39.125,19.4140625,5.6328125,0.7109375,1.06,0.081640625,0.20125,0.32875,0.388359375,0.35130209057359024,0.335703125,0.0
identity,1103,7.34375,0.2578125,0.2578125,0.7109375,0.734375,78.75,0.0234375,0.0078125,0.86921875,0.324609375,0.216875,0.217734375,0.24078125,0.6489062562980689,0.03015625,0.0
identity,1104,9.296875,0.34375,0.3046875,0.9296875,0.9296875,74.234375,0.0,0.0,0.8103125,0.36703125,0.21703125,0.188125,0.2278125,0.6243489656457677,0.038125,0.0
