phase,,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,training,training,training,training,training,training,training,training,training,training,training,training,training,training
metric,,action_saturated_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,loc_max,loc_min,scale_mean,clip_fraction,comm_active_sender_fraction,comm_attention_entropy,comm_contribution_to_encoder_norm_ratio,comm_effective_neighbor_count,comm_mean_message_norm,comm_nominal_sender_bits_per_step,comm_realized_bits_per_step,entropy,explained_variance,grad_norm_loss_critic,grad_norm_loss_objective,kl_approx,loss_critic
method,seed,,,,,,,,,,,,,,,,,,,,,,,,,
attention,1100,0.0,1.0,0.6874992769956588,0.131923517982165,1.9889409053325653,1.3306220436096192,6144.0,12288.0,0.6016424894332886,-1.391773343086243,0.829067587852478,0.015822222456336,1.0,0.684941291809082,0.160264566540718,297.5931091308594,1.5118255615234375,6144.0,12288.0,1.2510769367218018,0.3248395323753357,9.414730072021484,2.556368112564087,0.002386572305113,33.06588363647461
attention,1101,0.0,1.0,0.685293715596199,0.1895902113119761,1.9847897469997409,1.591193563938141,6144.0,12288.0,1.447350025177002,-1.2471612691879272,0.8699582815170288,0.011488888412714,1.0,0.6844877600669861,0.2114401459693908,297.49114990234375,1.6609129905700684,6144.0,12288.0,1.2773374319076538,0.3744158148765564,2.877685785293579,0.681745171546936,0.0022608484141528,3.916946649551392
attention,1102,0.0,1.0,0.6289667797088623,0.6850921130180359,1.886864902973175,2.9953268718719483,6144.0,12288.0,2.5157532691955566,-2.356260061264038,0.3352457582950592,0.0709222257137298,1.0,0.6356589198112488,0.7361506223678589,284.83514404296875,3.1172330379486084,6144.0,12288.0,-0.6768922209739685,0.0266641695052385,261.2555847167969,67.64131164550781,0.0045268344692885,1048.6826171875
attention,1103,0.0,1.0,0.6389219123125076,0.5733380556106568,1.9048749995231629,2.7945392155647277,6144.0,12288.0,2.9544546604156494,-2.927799701690674,0.3756890892982483,0.0439888872206211,1.0,0.6460875868797302,0.5884683132171631,287.5052490234375,2.8965885639190674,6144.0,12288.0,-0.4670990109443664,0.1860119253396988,148.8233184814453,35.974910736083984,0.0029951343312859,620.6763305664062
attention,1104,0.0,1.0,0.6851552593708038,0.1271951231360435,1.9848853874206545,1.5164777040481567,6144.0,12288.0,1.3868632316589355,-0.8800507187843323,0.8276868462562561,0.0197555553168058,1.0,0.6828451156616211,0.1288074404001236,297.0880432128906,1.55361807346344,6144.0,12288.0,1.2723785638809204,0.4222668707370758,4.356470108032227,0.6020627617835999,0.0021882862783968,3.9306697845458984
broadcast,1100,0.0,1.0,,0.8428589344024658,,1.557249494791031,3072.0,6144.0,2.70000958442688,-3.039350748062134,0.3186734616756439,0.047683335840702,1.0,,0.8314887881278992,,1.5537025928497314,3072.0,6144.0,-0.8961074948310852,0.2844258844852447,265.8742980957031,72.734130859375,0.0030176592990756,905.3987426757812
broadcast,1101,0.0,1.0,,0.4536892131964365,,0.7158274453878403,3072.0,6144.0,1.702610731124878,-1.6591873168945312,0.7783269286155701,0.009294444695115,1.0,,0.4515005946159363,,0.7673500180244446,3072.0,6144.0,1.1703641414642334,0.6648879051208496,11.69406795501709,3.1155667304992676,0.0009762404370121,20.57331657409668
broadcast,1102,0.0,1.0,,0.3807879404226938,,0.6972360318899155,3072.0,6144.0,1.9478148221969604,-0.8782354593276978,0.834162712097168,0.0105944443494081,1.0,,0.3624173998832702,,0.7049252986907959,3072.0,6144.0,1.2596391439437866,0.5395408868789673,2.78959321975708,0.5067340731620789,0.0017081749392673,2.4740982055664062
broadcast,1103,0.0,1.0,,0.9866254528363546,,1.7807614946365355,3072.0,6144.0,2.713661193847656,-3.1722192764282227,0.2531269192695617,0.0519222244620323,1.0,,0.9709791541099548,,1.7532963752746582,3072.0,6144.0,-1.0245198011398315,0.2304156273603439,320.32135009765625,173.47166442871094,0.0036668081302195,1350.581298828125
