task,method,seed,state,frames,last_eval_frames,final_return,metric_rows,nonfinite,duplicate_keys,csv_checksum_matches,checkpoint_checksum_matches,terminal_out_matches,evaluations,seconds,source_commit
PCP,identity,1100,completed,600000,600000.0,500.0,226580.0,0.0,0.0,True,True,True,51.0,1659.164242,05047b317c1447b26a1cad7a57152da291d68009
PCP,identity,1101,completed,600000,600000.0,13.4375,226579.0,0.0,0.0,True,True,True,51.0,1728.876652,05047b317c1447b26a1cad7a57152da291d68009
PCP,identity,1102,completed,600000,600000.0,391.25,226579.0,0.0,0.0,True,True,True,51.0,1785.312901,05047b317c1447b26a1cad7a57152da291d68009
PCP,identity,1103,completed,600000,600000.0,7.34375,226580.0,0.0,0.0,True,True,True,51.0,1759.297309,05047b317c1447b26a1cad7a57152da291d68009
PCP,identity,1104,completed,600000,600000.0,9.296875,226580.0,0.0,0.0,True,True,True,51.0,1752.209522,05047b317c1447b26a1cad7a57152da291d68009
PCP,broadcast,1100,completed,600000,600000.0,414.765625,227384.0,0.0,0.0,True,True,True,51.0,1815.438156,05047b317c1447b26a1cad7a57152da291d68009
PCP,broadcast,1101,completed,600000,600000.0,18.046875,227384.0,0.0,0.0,True,True,True,51.0,1882.71147,05047b317c1447b26a1cad7a57152da291d68009
PCP,broadcast,1102,completed,600000,600000.0,4.296875,227384.0,0.0,0.0,True,True,True,51.0,1918.181926,05047b317c1447b26a1cad7a57152da291d68009
PCP,broadcast,1103,completed,600000,600000.0,576.71875,227382.0,0.0,0.0,True,True,True,51.0,1929.868632,05047b317c1447b26a1cad7a57152da291d68009
PCP,broadcast,1104,completed,600000,600000.0,784.921875,227383.0,0.0,0.0,True,True,True,51.0,1910.372123,05047b317c1447b26a1cad7a57152da291d68009
PCP,gated,1100,completed,600000,600000.0,447.5,230599.0,0.0,0.0,True,True,True,51.0,1862.392978,05047b317c1447b26a1cad7a57152da291d68009
PCP,gated,1101,completed,600000,600000.0,7.890625,230598.0,0.0,0.0,True,True,True,51.0,1927.605586,05047b317c1447b26a1cad7a57152da291d68009
PCP,gated,1102,completed,600000,600000.0,32.03125,230599.0,0.0,0.0,True,True,True,51.0,1930.247237,05047b317c1447b26a1cad7a57152da291d68009
PCP,gated,1103,completed,600000,600000.0,391.5625,230599.0,0.0,0.0,True,True,True,51.0,1946.414808,05047b317c1447b26a1cad7a57152da291d68009
PCP,gated,1104,completed,600000,600000.0,9.6875,230600.0,0.0,0.0,True,True,True,51.0,1961.021037,05047b317c1447b26a1cad7a57152da291d68009
PCP,attention,1100,completed,600000,600000.0,2.421875,228590.0,0.0,0.0,True,True,True,51.0,1893.078543,05047b317c1447b26a1cad7a57152da291d68009
PCP,attention,1101,completed,600000,600000.0,3.515625,228590.0,0.0,0.0,True,True,True,51.0,2012.504887,05047b317c1447b26a1cad7a57152da291d68009
PCP,attention,1102,completed,600000,600000.0,450.3125,228589.0,0.0,0.0,True,True,True,51.0,2095.20677,05047b317c1447b26a1cad7a57152da291d68009
PCP,attention,1103,completed,600000,600000.0,355.9375,228589.0,0.0,0.0,True,True,True,51.0,2034.983649,05047b317c1447b26a1cad7a57152da291d68009
PCP,attention,1104,completed,600000,600000.0,4.21875,228590.0,0.0,0.0,True,True,True,51.0,1955.252732,05047b317c1447b26a1cad7a57152da291d68009
PCP,graph,1100,completed,600000,600000.0,6.25,229796.0,0.0,0.0,True,True,True,51.0,1934.384632,05047b317c1447b26a1cad7a57152da291d68009
PCP,graph,1101,completed,600000,600000.0,414.140625,229794.0,0.0,0.0,True,True,True,51.0,2097.430962,05047b317c1447b26a1cad7a57152da291d68009
PCP,graph,1102,completed,600000,600000.0,23.75,229796.0,0.0,0.0,True,True,True,51.0,2062.239976,05047b317c1447b26a1cad7a57152da291d68009
PCP,graph,1103,completed,600000,600000.0,469.765625,229796.0,0.0,0.0,True,True,True,51.0,2135.752123,05047b317c1447b26a1cad7a57152da291d68009
PCP,graph,1104,completed,600000,600000.0,3.671875,229796.0,0.0,0.0,True,True,True,51.0,1956.345184,05047b317c1447b26a1cad7a57152da291d68009
MAPDN,identity,1100,completed,131072,131072.0,-10.81945276260376,98112.0,0.0,0.0,True,True,True,17.0,19040.271141,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,identity,1101,completed,131072,131072.0,-7.022273063659668,98112.0,0.0,0.0,True,True,True,17.0,18771.271912,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,identity,1102,completed,131072,131072.0,-7.774299591779709,98112.0,0.0,0.0,True,True,True,17.0,18783.25595,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,identity,1103,running,24576,16384.0,,18306.0,0.0,0.0,,,,3.0,,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,identity,1104,missing,0,,,,,,,,,,,
MAPDN,broadcast,1100,completed,131072,131072.0,-10.757345080375671,101252.0,0.0,0.0,True,True,True,17.0,19526.203927,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,broadcast,1101,completed,131072,131072.0,-7.976284831762314,101252.0,0.0,0.0,True,True,True,17.0,18941.398071,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,broadcast,1102,completed,131072,131072.0,-7.070176869630814,101252.0,0.0,0.0,True,True,True,17.0,19162.279038,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,broadcast,1103,running,20480,16384.0,,16013.0,0.0,0.0,,,,3.0,,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,broadcast,1104,missing,0,,,,,,,,,,,
MAPDN,gated,1100,completed,131072,131072.0,-10.523223996162416,113812.0,0.0,0.0,True,True,True,17.0,19514.585897,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,gated,1101,completed,131072,131072.0,-8.13748151063919,113812.0,0.0,0.0,True,True,True,17.0,18989.507416,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,gated,1102,completed,131072,131072.0,-8.612649291753769,113812.0,0.0,0.0,True,True,True,17.0,19160.849847,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,gated,1103,running,19712,16384.0,,17369.0,0.0,0.0,,,,3.0,,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,gated,1104,missing,0,,,,,,,,,,,
MAPDN,attention,1100,completed,131072,131072.0,-10.461830079555511,105962.0,0.0,0.0,True,True,True,17.0,19934.44262,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,attention,1101,completed,131072,131072.0,-8.184217602014542,105962.0,0.0,0.0,True,True,True,17.0,19073.801065,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,attention,1102,completed,131072,131072.0,-7.87923389673233,105962.0,0.0,0.0,True,True,True,17.0,19378.448317,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,attention,1103,running,16384,8192.0,,13188.0,0.0,0.0,,,,2.0,,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,attention,1104,missing,0,,,,,,,,,,,
MAPDN,graph,1100,completed,131072,131072.0,-9.655550837516785,110672.0,0.0,0.0,True,True,True,17.0,19871.640127,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,graph,1101,completed,131072,131072.0,-7.427278250455856,110672.0,0.0,0.0,True,True,True,17.0,19317.007863,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,graph,1102,completed,131072,131072.0,-9.19168871641159,110672.0,0.0,0.0,True,True,True,17.0,19568.313197,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,graph,1103,running,11520,8192.0,,10013.0,0.0,0.0,,,,2.0,,fee0e6b7644c0063536e9bc8828683608678b5e2
MAPDN,graph,1104,missing,0,,,,,,,,,,,
