task,method,seed,final_return,initial_return,initial_frame,final_frame,evaluations,late5_mean,late5_sd,curve_time_average,peak_eval_return,peak_frame,final_minus_peak
PCP,attention,1100,2.421875,0.3125,6000,600000,51,7.40625,6.406107086820552,5.6699810606060606,22.734375,324000,-20.3125
PCP,attention,1101,3.515625,0.546875,6000,600000,51,5.625,4.811193511781926,4.93844696969697,16.40625,216000,-12.890625
PCP,attention,1102,450.3125,0.0,6000,600000,51,493.359375,45.84865984273695,130.6182922979798,571.40625,588000,-121.09375
PCP,attention,1103,355.9375,0.078125,6000,600000,51,352.265625,15.600762451319486,117.0959595959596,377.734375,564000,-21.796875
PCP,attention,1104,4.21875,0.3125,6000,600000,51,6.453125,5.826889111588619,6.483980429292929,22.8125,312000,-18.59375
PCP,broadcast,1100,414.765625,0.9375,6000,600000,51,418.09375,22.35683074273666,160.86174242424244,446.640625,552000,-31.875
PCP,broadcast,1101,18.046875,0.15625,6000,600000,51,16.171875,2.138114403656876,11.601167929292929,30.234375,516000,-12.1875
PCP,broadcast,1102,4.296875,0.078125,6000,600000,51,4.171875,0.8315818181709482,3.607559974747475,16.09375,396000,-11.796875
PCP,broadcast,1103,576.71875,0.078125,6000,600000,51,554.921875,47.857541080599304,216.1505681818182,595.78125,552000,-19.0625
PCP,broadcast,1104,784.921875,0.234375,6000,600000,51,783.828125,12.68021939349582,298.9468907828283,800.9375,492000,-16.015625
PCP,gated,1100,447.5,0.15625,6000,600000,51,465.03125,35.12123256041137,174.78061868686868,520.625,552000,-73.125
PCP,gated,1101,7.890625,0.46875,6000,600000,51,5.125,1.9173282089766217,5.51886047979798,29.6875,480000,-21.796875
PCP,gated,1102,32.03125,0.0,6000,600000,51,29.203125,9.732506341508337,13.919270833333334,41.40625,588000,-9.375
PCP,gated,1103,391.5625,0.078125,6000,600000,51,356.671875,24.0320805082433,87.53274936868686,391.5625,600000,0.0
PCP,gated,1104,9.6875,0.3125,6000,600000,51,14.375,8.879654644273193,7.785274621212121,33.59375,516000,-23.90625
PCP,graph,1100,6.25,0.15625,6000,600000,51,6.421875,4.245215022344275,6.320628156565657,22.34375,444000,-16.09375
PCP,graph,1101,414.140625,0.3125,6000,600000,51,436.953125,24.670744412822497,164.41366792929293,468.515625,576000,-54.375
PCP,graph,1102,23.75,0.078125,6000,600000,51,36.390625,15.078671460304866,15.40088383838384,52.96875,564000,-29.21875
PCP,graph,1103,469.765625,0.078125,6000,600000,51,431.390625,33.57927558812783,195.56265782828282,478.046875,540000,-8.28125
PCP,graph,1104,3.671875,0.546875,6000,600000,51,5.671875,2.73470980093181,4.2905618686868685,15.859375,492000,-12.1875
PCP,identity,1100,500.0,0.3125,6000,600000,51,463.15625,26.132818338938062,139.65711805555554,500.0,600000,0.0
PCP,identity,1101,13.4375,0.078125,6000,600000,51,15.0,6.039673926033797,6.875,31.25,456000,-17.8125
PCP,identity,1102,391.25,0.0,6000,600000,51,428.328125,49.84153355181675,108.52391098484848,507.1875,588000,-115.9375
PCP,identity,1103,7.34375,0.078125,6000,600000,51,13.5,11.427553949022183,5.184659090909091,33.28125,588000,-25.9375
PCP,identity,1104,9.296875,0.390625,6000,600000,51,24.125,15.368539833099385,10.342881944444445,41.328125,588000,-32.03125
MAPDN,attention,1100,-10.461830079555511,-15.811120986938477,256,131072,17,-10.570368087291717,0.11726007259790146,-11.159253377678809,-10.320665657520294,8192,-0.14116442203521729
MAPDN,attention,1101,-8.184217602014542,-9.07013189792633,256,131072,17,-7.999487274885178,0.18532784905314648,-8.700713935022018,-7.7116213738918304,114688,-0.4725962281227112
MAPDN,attention,1102,-7.87923389673233,-10.37883448600769,256,131072,17,-8.223181772232056,0.25057359809338803,-9.169563904258837,-7.87923389673233,131072,0.0
MAPDN,broadcast,1100,-10.757345080375671,-18.5026296377182,256,131072,17,-11.044410133361817,0.2911767772633957,-11.723149291573206,-9.624772310256958,8192,-1.1325727701187134
MAPDN,broadcast,1101,-7.976284831762314,-9.530784398317335,256,131072,17,-7.929189556837082,0.1517172414671229,-8.877153802495414,-7.72530522942543,114688,-0.25097960233688354
MAPDN,broadcast,1102,-7.070176869630814,-10.409418135881424,256,131072,17,-6.6585103392601015,0.3471039502066807,-7.959757256152112,-6.299943327903748,90112,-0.770233541727066
MAPDN,gated,1100,-10.523223996162416,-18.60869008302689,256,131072,17,-10.379984176158903,0.17745511281752635,-11.167027256785074,-8.939218878746033,8192,-1.5840051174163836
MAPDN,gated,1101,-8.13748151063919,-9.109628051519394,256,131072,17,-8.207579308748246,0.1514007463854373,-8.7620755610459,-8.054017335176468,98304,-0.08346417546272278
MAPDN,gated,1102,-8.612649291753769,-10.490369826555252,256,131072,17,-8.639079076051711,0.09688109162074748,-9.332724119964878,-8.516635954380035,114688,-0.09601333737373352
MAPDN,graph,1100,-9.655550837516785,-17.710519671440125,256,131072,17,-9.679752242565154,0.15596644270205032,-10.422938283700532,-9.495129823684692,106496,-0.16042101383209229
MAPDN,graph,1101,-7.427278250455856,-8.965047061443329,256,131072,17,-7.688897788524628,0.22804567277743415,-8.691844129399078,-7.355110675096512,90112,-0.07216757535934448
MAPDN,graph,1102,-9.19168871641159,-10.293928623199465,256,131072,17,-9.216704154014588,0.12146780779906043,-10.083388187297404,-9.07232728600502,114688,-0.11936143040657043
MAPDN,identity,1100,-10.81945276260376,-16.06955176591873,256,131072,17,-10.767018234729766,0.1387356574942503,-11.233865464153588,-9.094094336032867,8192,-1.7253584265708923
MAPDN,identity,1101,-7.022273063659668,-9.004994064569473,256,131072,17,-7.213229501247406,0.22997190190005912,-8.413923301429664,-7.022273063659668,131072,0.0
MAPDN,identity,1102,-7.774299591779709,-10.35621413588524,256,131072,17,-7.908969753980637,0.16726940356796852,-8.727093423970059,-7.5888382494449615,81920,-0.18546134233474731
